id,name,track,channels,bottlenecks,decoder_type,params,params_m,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,results_root
MU15,mu_stem_flank_f2_f3,max_unpool,"28,112,224,224,112,28","4,8,8,2,1",max_unpool,1114694,1.114694,0.8179,0.8179,0.037799999999999945,-0.007457142857142861,15,31.70266666666667,,0,max_unpool track: bump stem+flank+f2+f3 by 1.75x vs Original.,0.690100;0.704600;0.760700;0.763900;0.771400;0.780600;0.775500;0.780100;0.792900;0.800000;0.789400;0.799500;0.795700;0.814900;0.817900,/workspace/LightM-UNet/upscale/results/pareto_e15/MU15_mu_stem_flank_f2_f3
UC01,uc_fi,upsample_conv,"28,64,128,64,16","4,8,8,2,1",upsample_conv,370409,0.370409,0.8086,0.8086,0.02949999999999997,-0.007071428571428586,15,22.565333333333335,,0,upsample_conv track: bump fi by 1.75x vs Original.,0.700100;0.708000;0.738700;0.754700;0.757500;0.767600;0.774000;0.779100;0.787800;0.790500;0.783900;0.784300;0.803500;0.798600;0.808600,/workspace/LightM-UNet/upscale/results/pareto_e15/UC01_uc_fi
UC02,uc_f1,upsample_conv,"16,112,128,64,16","4,8,8,2,1",upsample_conv,420257,0.420257,0.8055,0.8055,0.025399999999999978,-0.009871428571428578,15,24.823999999999998,,0,upsample_conv track: bump f1 by 1.75x vs Original.,0.685600;0.734400;0.740500;0.748600;0.776400;0.759700;0.757400;0.780100;0.787500;0.795000;0.799500;0.802400;0.799900;0.804000;0.805500,/workspace/LightM-UNet/upscale/results/pareto_e15/UC02_uc_f1
UC03,uc_f23,upsample_conv,"16,64,224,64,16","4,8,8,2,1",upsample_conv,1018313,1.018313,0.7945,0.804,0.012499999999999956,-0.016928571428571435,15,26.118666666666666,,0,upsample_conv track: bump f23 by 1.75x vs Original.,0.651000;0.728800;0.745900;0.753500;0.760300;0.763000;0.781600;0.782000;0.789000;0.790400;0.791400;0.801700;0.798300;0.804000;0.794500,/workspace/LightM-UNet/upscale/results/pareto_e15/UC03_uc_f23
UC04,uc_f4,upsample_conv,"16,64,128,112,16","4,8,8,2,1",upsample_conv,400841,0.400841,0.7982,0.7982,0.02870000000000006,-0.010357142857142843,15,24.008666666666663,,0,upsample_conv track: bump f4 by 1.75x vs Original.,0.668300;0.710100;0.736500;0.748400;0.766900;0.771000;0.782500;0.769500;0.784500;0.788200;0.792700;0.795300;0.797900;0.795900;0.798200,/workspace/LightM-UNet/upscale/results/pareto_e15/UC04_uc_f4
UC05,uc_f5,upsample_conv,"16,64,128,64,28","4,8,8,2,1",upsample_conv,371198,0.371198,0.8122,0.8122,0.0383,-0.008100000000000012,15,22.377333333333333,,0,upsample_conv track: bump f5 by 1.75x vs Original.,0.678900;0.718100;0.762700;0.747900;0.754300;0.769800;0.787900;0.773900;0.795200;0.788400;0.791700;0.800800;0.783100;0.804300;0.812200,/workspace/LightM-UNet/upscale/results/pareto_e15/UC05_uc_f5
UC06,uc_fi_f1,upsample_conv,"28,112,128,64,16","4,8,8,2,1",upsample_conv,421745,0.421745,0.8003,0.808,0.012399999999999967,-0.010371428571428587,15,24.291999999999998,,0,upsample_conv track: bump fi+f1 by 1.75x vs Original.,0.702900;0.723900;0.746300;0.764200;0.765900;0.771000;0.774600;0.787900;0.793900;0.788600;0.782100;0.797000;0.801500;0.808000;0.800300,/workspace/LightM-UNet/upscale/results/pareto_e15/UC06_uc_fi_f1
UC07,uc_fi_f23,upsample_conv,"28,64,224,64,16","4,8,8,2,1",upsample_conv,1019225,1.019225,0.8044,0.8087,0.016000000000000014,-0.013128571428571427,15,25.552666666666667,,0,upsample_conv track: bump fi+f23 by 1.75x vs Original.,0.680500;0.722100;0.744700;0.747100;0.767100;0.774600;0.792600;0.788400;0.792100;0.794400;0.790800;0.805800;0.800900;0.808700;0.804400,/workspace/LightM-UNet/upscale/results/pareto_e15/UC07_uc_fi_f23
UC08,uc_fi_f4,upsample_conv,"28,64,128,112,16","4,8,8,2,1",upsample_conv,401753,0.401753,0.805,0.8129,0.028200000000000003,-0.00927142857142858,15,23.488,,0,upsample_conv track: bump fi+f4 by 1.75x vs Original.,0.683700;0.716400;0.739300;0.757700;0.763800;0.765600;0.767600;0.776800;0.783700;0.777800;0.791700;0.789500;0.793100;0.812900;0.805000,/workspace/LightM-UNet/upscale/results/pareto_e15/UC08_uc_fi_f4
UC09,uc_fi_f5,upsample_conv,"28,64,128,64,28","4,8,8,2,1",upsample_conv,372110,0.37211,0.8112,0.8112,0.036900000000000044,-0.008757142857142844,15,22.741333333333333,,0,upsample_conv track: bump fi+f5 by 1.75x vs Original.,0.676100;0.736200;0.732900;0.742000;0.742600;0.765000;0.785200;0.774300;0.787100;0.784100;0.794000;0.793500;0.799500;0.804900;0.811200,/workspace/LightM-UNet/upscale/results/pareto_e15/UC09_uc_fi_f5
UC10,uc_f1_f23,upsample_conv,"16,112,224,64,16","4,8,8,2,1",upsample_conv,1073681,1.073681,0.8079,0.8079,0.02169999999999994,-0.009557142857142866,15,27.958000000000006,,0,upsample_conv track: bump f1+f23 by 1.75x vs Original.,0.697600;0.739400;0.733400;0.759400;0.786300;0.771600;0.774200;0.786200;0.785100;0.789600;0.798800;0.802000;0.806300;0.802900;0.807900,/workspace/LightM-UNet/upscale/results/pareto_e15/UC10_uc_f1_f23
UC11,uc_f1_f4,upsample_conv,"16,112,128,112,16","4,8,8,2,1",upsample_conv,451601,0.451601,0.8083,0.8103,0.03849999999999998,-0.012671428571428587,15,25.844666666666665,,0,upsample_conv track: bump f1+f4 by 1.75x vs Original.,0.642600;0.732600;0.742800;0.756700;0.770700;0.763900;0.778300;0.769800;0.788700;0.784900;0.793000;0.796600;0.806300;0.810300;0.808300,/workspace/LightM-UNet/upscale/results/pareto_e15/UC11_uc_f1_f4
UC12,uc_f1_f5,upsample_conv,"16,112,128,64,28","4,8,8,2,1",upsample_conv,421958,0.421958,0.8048,0.8077,0.029799999999999938,-0.009300000000000006,15,24.827333333333335,,0,upsample_conv track: bump f1+f5 by 1.75x vs Original.,0.680100;0.735400;0.748800;0.753300;0.779700;0.765300;0.778700;0.775000;0.778900;0.776000;0.786700;0.794800;0.794600;0.807700;0.804800,/workspace/LightM-UNet/upscale/results/pareto_e15/UC12_uc_f1_f5
UC13,uc_f23_f4,upsample_conv,"16,64,224,112,16","4,8,8,2,1",upsample_conv,1055417,1.055417,0.8145,0.8145,0.04359999999999997,-0.006314285714285718,15,27.278000000000006,,0,upsample_conv track: bump f23+f4 by 1.75x vs Original.,0.683100;0.718900;0.746000;0.747000;0.769700;0.778300;0.786500;0.770900;0.787100;0.801200;0.790100;0.793900;0.804600;0.802100;0.814500,/workspace/LightM-UNet/upscale/results/pareto_e15/UC13_uc_f23_f4
UC14,uc_f23_f5,upsample_conv,"16,64,224,64,28","4,8,8,2,1",upsample_conv,1020014,1.020014,0.8117,0.8117,0.01739999999999997,-0.019157142857142855,15,26.233999999999995,,0,upsample_conv track: bump f23+f5 by 1.75x vs Original.,0.642800;0.698400;0.746900;0.751300;0.774100;0.780200;0.785400;0.794300;0.776600;0.805200;0.805200;0.791100;0.792300;0.805600;0.811700,/workspace/LightM-UNet/upscale/results/pareto_e15/UC14_uc_f23_f5
UC15,uc_f4_f5,upsample_conv,"16,64,128,112,28","4,8,8,2,1",upsample_conv,403262,0.403262,0.7993,0.809,0.012399999999999967,-0.013942857142857163,15,24.226,,0,upsample_conv track: bump f4+f5 by 1.75x vs Original.,0.676900;0.732900;0.739300;0.756600;0.775200;0.774700;0.765500;0.786900;0.785300;0.790200;0.798500;0.797000;0.806700;0.809000;0.799300,/workspace/LightM-UNet/upscale/results/pareto_e15/UC15_uc_f4_f5
