partition,node_name,op_type,depth,ram_style,dataType,folded_shape,elems_per_beat,size_elems,bitwidth,size_bits,size_bytes
5,StreamingFIFO_rtl_6,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 8, 1]",1,2,19,38,4.75
5,StreamingFIFO_rtl_7,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_8,StreamingFIFO_rtl,32,auto,UINT8,"[1, 8, 8, 1, 8]",8,256,8,2048,256.0
5,StreamingFIFO_rtl_9,StreamingFIFO_rtl,123,auto,UINT8,"[1, 16, 16, 1, 8]",8,984,8,7872,984.0
5,StreamingFIFO_rtl_10,StreamingFIFO_rtl,2048,auto,UINT8,"[1, 16, 16, 8, 1]",1,2048,8,16384,2048.0
5,StreamingFIFO_rtl_11,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 72, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_12,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 2, 36]",36,72,8,576,72.0
5,StreamingFIFO_rtl_13,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 4, 2]",2,4,16,64,8.0
5,StreamingFIFO_rtl_14,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 8, 1]",1,2,16,32,4.0
5,StreamingFIFO_rtl_15,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_16,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 2, 4]",4,8,8,64,8.0
5,StreamingFIFO_rtl_17,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 8, 4]",4,8,19,152,19.0
5,StreamingFIFO_rtl_18,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 16, 2]",2,4,19,76,9.5
5,StreamingFIFO_rtl_19,StreamingFIFO_rtl,32,auto,INT8,"[1, 8, 8, 16, 2]",2,64,8,512,64.0
5,StreamingFIFO_rtl_20,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_21,StreamingFIFO_rtl,2,auto,INT9,"[1, 8, 8, 32, 1]",1,2,9,18,2.25
5,StreamingFIFO_rtl_22,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_23,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_24,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_25,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_26,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 4, 8]",8,16,8,128,16.0
5,StreamingFIFO_rtl_27,StreamingFIFO_rtl,2046,auto,INT8,"[1, 8, 8, 32, 1]",1,2046,8,16368,2046.0
5,StreamingFIFO_rtl_28,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 2, 4]",4,8,19,152,19.0
5,StreamingFIFO_rtl_29,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 8, 1]",1,2,19,38,4.75
5,StreamingFIFO_rtl_30,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_31,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 1, 8]",8,16,8,128,16.0
5,StreamingFIFO_rtl_32,StreamingFIFO_rtl,351,auto,UINT8,"[1, 24, 24, 1, 8]",8,2808,8,22464,2808.0
5,StreamingFIFO_rtl_33,StreamingFIFO_rtl,2776,auto,UINT8,"[1, 24, 24, 8, 1]",1,2776,8,22208,2776.0
5,StreamingFIFO_rtl_34,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 72, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_35,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 2, 36]",36,72,8,576,72.0
5,StreamingFIFO_rtl_36,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 4, 2]",2,4,16,64,8.0
