stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_114,OR (6x6 | 5x5),0.5466389357608811,0.4296465363022456,0.7511863675574296,0.9559288024901978
test_114,confidence blend,0.5899954934652591,0.5067347886665841,0.70599654874816,0.9652938842773069
test_115,6x6 only,0.3998181818178183,0.5115143056512875,0.328159976122477,0.9748153686523066
test_115,5x5 only,0.29363872237604577,0.36662198391339,0.244888822563431,0.9698829650878535
test_115,OR (6x6 | 5x5),0.390486105549459,0.421361908053195,0.36382629458235516,0.970966339111291
test_115,confidence blend,0.37268328311843996,0.48000940733659453,0.30458140575987974,0.9737892150878534
test_116,6x6 only,0.3970094598715311,0.4030983733533647,0.3911017586045527,0.9698486328124629
test_116,5x5 only,0.3761915833524171,0.3883199999993787,0.3647978355623556,0.9692955017089474
test_116,OR (6x6 | 5x5),0.376895854398144,0.32515538109221986,0.4482188486390377,0.9623870849609008
test_116,confidence blend,0.4107322353665733,0.42292993630505904,0.39921839771471634,0.9709281921386348
test_117,6x6 only,0.46746486205077176,0.5227008149004392,0.4227871939732365,0.9609756469726195
test_117,5x5 only,0.5487220447281606,0.5839354016143392,0.517514124293298,0.9655151367187131
test_117,OR (6x6 | 5x5),0.5587138035172505,0.5287491593808601,0.5922787193968058,0.9620971679687133
test_117,confidence blend,0.5334120657412984,0.5586477015042685,0.5103578154420806,0.9638290405273069
test_118,6x6 only,0.5823820071557485,0.5630971993400937,0.6030345800977364,0.9813003540038687
test_118,5x5 only,0.5241962214115643,0.49421874999922777,0.5580451658423464,0.978096008300744
test_118,OR (6x6 | 5x5),0.5320939764323119,0.45465916197566647,0.6413196894836957,0.9756126403808221
test_118,confidence blend,0.5752678728257726,0.5727527107370186,0.5778052222996157,0.9815521240234
test_119,6x6 only,0.6517332549936459,0.5929440064137472,0.7234632316961952,0.9819107055663687
test_119,5x5 only,0.6755646817243506,0.6138877782212263,0.7510190771225321,0.9831237792968375
test_119,OR (6x6 | 5x5),0.6176470588231292,0.5124153498865823,0.7772705038304626,0.977485656738244
test_119,confidence blend,0.7088684550492371,0.6638200967824313,0.7604761128309792,0.985385894775353
test_12,6x6 only,0.5425211390800442,0.5544298768364037,0.5311132254985136,0.9820442199706656
test_12,5x5 only,0.4680887665573128,0.42709150839675547,0.5177925784956845,0.9764099121093377
test_12,OR (6x6 | 5x5),0.4765314859496563,0.40318756585826765,0.5824928639379972,0.9743461608886347
test_12,confidence blend,0.5282946479948893,0.53258557338903,0.5240723120827325,0.9812393188476187
test_120,6x6 only,0.46220952094422635,0.45763216679008545,0.4668793679725511,0.9727210998534784
test_120,5x5 only,0.4714407502127938,0.44275420336209936,0.5041020966263992,0.9716186523437129
test_120,OR (6x6 | 5x5),0.4475515626974266,0.383456201213808,0.537374658157798,0.9666900634765255
test_120,confidence blend,0.4657494569149415,0.4449363586048078,0.4886052871460216,0.9718551635741817
test_121,6x6 only,0.631207866905417,0.5964235624116451,0.6703008012601205,0.9772529602050408
test_121,5x5 only,0.6588480583785126,0.6536522301219733,0.6641271509251752,0.9800262451171501
test_121,OR (6x6 | 5x5),0.6149929585090375,0.523274034472741,0.74569814790392,0.9728851318359003
test_121,confidence blend,0.6799610263068009,0.6725777435098014,0.6875082096404999,0.9812049865722281
test_122,6x6 only,0.5828245828237921,0.5424242424228727,0.6297273526806516,0.9882698059081654
test_122,5x5 only,0.5208630164863415,0.39890880748184115,0.750219876866754,0.9820404052734
test_122,OR (6x6 | 5x5),0.5068959002451285,0.373937282229444,0.7865728525336072,0.9800872802734001
test_122,confidence blend,0.6190783529100051,0.553044280441529,0.7030196423315654,0.9887428283691029
test_123,6x6 only,0.4705770690959846,0.5147425249158747,0.4333916083908507,0.9787216186523063
test_123,5x5 only,0.43736410770995365,0.4192048733561731,0.45716783216703294,0.9743347167968378
test_123,OR (6x6 | 5x5),0.4502641856187684,0.40059953672107834,0.5139860139851155,0.9726142883300409
test_123,confidence blend,0.4668465690049471,0.5201890034353089,0.4234265734258332,0.9788970947265251
test_124,6x6 only,0.5611472343455236,0.6184959748668579,0.5135311379193727,0.9624099731444945
test_124,5x5 only,0.527727793227332,0.5295469468150611,0.5259210955326655,0.955947875976526
test_124,OR (6x6 | 5x5),0.5608222230206056,0.5015103798441407,0.6360449951087087,0.9533805847167605
test_124,confidence blend,0.5975032285834707,0.6330961503369521,0.5656993805016581,0.9643325805663694
test_125,6x6 only,0.6294888043932154,0.596381684276983,0.6664877437812373,0.9832725524901968
test_125,5x5 only,0.4706669640861992,0.40267175572467856,0.566290928608756,0.9728431701659784
test_125,OR (6x6 | 5x5),0.5083126063617566,0.40076375270884423,0.6947575594906159,0.9713439941405879
test_125,confidence blend,0.5845852964702777,0.580918727914168,0.5882984433698546,0.9821739196776968
test_126,6x6 only,0.6322853517550734,0.7202415365833363,0.5634737159510687,0.9502525329589481
test_126,5x5 only,0.5304419295692829,0.7148943421943464,0.4216504171271376,0.9433364868163702
test_126,OR (6x6 | 5x5),0.6628776864308698,0.699235960068764,0.6301135792538797,0.9513511657714481
test_126,confidence blend,0.6472640626327838,0.7430153044606037,0.5733742084628739,0.9525642395019167
test_127,6x6 only,0.7039795701209278,0.6981112166289984,0.7099474192502307,0.9787750244140251
