case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_228,0.8670205706696303,0.9011034482746192,0.8354219948838422,0.8674447278285278
test_229,0.6039634550026023,0.7906170556958739,0.48860958366029517,0.5130523327449393
test_22,0.7925641160667793,0.8775510204071398,0.7225849817546355,0.8108678046354693
test_230,0.7264017749088713,0.7431902600074873,0.7103550295850982,0.6729428040489804
test_231,0.7218934911239073,0.7428542673100413,0.7020831351653171,0.6394320475022263
test_232,0.2429349501590351,0.24821503569876477,0.23787482390775233,0.2427319917168069
test_233,0.6258876039761483,0.576043319950914,0.6851749028309992,0.6375808420760896
test_234,0.7462309368188469,0.8223374627861112,0.683018265932294,0.7770552889210096
test_235,0.6021404333069161,0.651123405215478,0.5600116527475626,0.5786425005326158
test_236,0.6919322861059235,0.6181198910073322,0.7857637686165817,0.6541152850093896
test_237,0.7614060430957256,0.7313829787225584,0.7939994978649335,0.7859274475326126
test_238,0.6617647058816953,0.7195332757114963,0.6125827814558268,0.6753827472079963
test_239,0.7666699692848838,0.9163903363313207,0.6590018736149565,0.7747923489213022
test_23,0.6003734827258633,0.5842267853887257,0.6174380641432352,0.6480410785117516
test_240,0.7743531202432365,0.8446787315284371,0.7148377125188177,0.7261583909818976
test_241,0.7700819083196075,0.7619792407212257,0.77835875090664,0.7967688842253962
test_242,0.7630922693262604,0.6946125907983306,0.8465510881583099,0.7872515015708208
test_243,0.47904925263386483,0.5163079360880546,0.44680607930471167,0.48563933769186174
test_244,0.5054868489805735,0.4931180968555767,0.5184920493112052,0.5049988091006965
test_245,0.3303594856988581,0.9360594795469439,0.2005735223829846,0.3296858138778772
test_246,0.710656316160545,0.5990481856032981,0.873373807457721,0.6777734728505299
test_247,0.7742972844206918,0.797081902892598,0.7527790643807865,0.799156700582735
test_248,0.875874450565916,0.8475916606747572,0.9061099013694043,0.8556965158448255
test_249,0.8357697718509781,0.921748515918886,0.7644623475430631,0.8128699362140254
test_24,0.4210274790914922,0.822979915923293,0.2828704446937183,0.47615775371893393
test_250,0.7370671227015592,0.8331952499298078,0.6608257584047083,0.7124779491154873
test_251,0.7533525968728211,0.9451570923945991,0.6262626262618548,0.6744633096709619
test_252,0.2262262262259746,0.3940333204169158,0.15865834633360584,0.23740013060308693
test_253,0.5640527950305084,0.5072438470928482,0.6351912568292127,0.5819961568876324
test_254,0.732880210583926,0.7345251220658886,0.7312426499406262,0.7067877463627692
test_255,0.749283154121528,0.7975202670474033,0.7065483734679285,0.7077320635573033
test_256,0.7819347942269891,0.8001823154041929,0.764500958019919,0.8147749200412029
test_257,0.8326165491133385,0.7924034053687092,0.8771293947066381,0.8185874472550562
test_258,0.31137136071401195,0.8104881688322096,0.1927014698427812,0.2430083111296491
test_259,0.8202689406356015,0.9019112874127264,0.7521804511266884,0.7931753827415602
test_25,0.5778371161544874,0.5859734633081696,0.5699236239128656,0.5253440513619022
test_260,0.7894935277109529,0.8424299316067555,0.7428166016309059,0.8073995871463742
test_261,0.7840841605151573,0.7678630774330877,0.8010053735468868,0.7585570529942687
test_262,0.6689552937499657,0.6481705473228785,0.6911172013530693,0.5859671940241435
test_263,0.8632376143888525,0.8449468742267792,0.8823377628681689,0.8725364864020172
test_264,0.8331401501784845,0.8377419681759016,0.8285886126695783,0.830924415481557
test_265,0.7278053543813753,0.7601563827966001,0.6980955354344395,0.6641114728805589
test_266,0.6077152441291392,0.9287952150358052,0.45159950145346683,0.5769048956406867
test_267,0.7550702028068035,0.9093945720212552,0.6455245998795331,0.7383723204246341
test_268,0.8192427737815041,0.8428032947077443,0.7969636963685849,0.8210376328296596
test_269,0.6170144047538163,0.6455798864549263,0.5908697265859324,0.50455960946673
test_26,0.6627701508758151,0.6823397704990699,0.6442917547551684,0.6594948500280337
test_270,0.7821097926714555,0.8654290111573052,0.7134247878830279,0.7353871284245879
test_271,0.8904749317112605,0.9263061411532056,0.8573125212065537,0.8886723403296795
test_272,0.5182356310855103,0.6244822825558008,0.44288511749202714,0.6267833911196737
test_273,0.509932162114973,0.6928530913209558,0.4034237903889451,0.43862198767955424
test_274,0.9104638619195587,0.911447084232031,0.9094827586194646,0.9164076534921084
test_275,0.8911800241635994,0.9064394560037581,0.8764258555119195,0.9372679101698295
test_276,0.5084956854367862,0.3954067515213124,0.712185397456486,0.5656096404809404
test_277,0.7881591950405228,0.8883151073300036,0.7082996932014304,0.7831818538061993
test_278,0.5721076835629763,0.8223410576339537,0.4386340226602974,0.5200225453134409
test_279,0.7472287684381831,0.8214354250615798,0.6853186039059516,0.7550120879691935
test_27,0.7511550103546669,0.7815348914291703,0.7230486121749379,0.7303419270890995
test_280,0.7617310794691998,0.7845687039433831,0.7401853871309431,0.738501973630203
test_281,0.6036829463566022,0.7109183481035057,0.5245582301370189,0.6587199430127543
test_282,0.37764693729967064,0.3036040524827241,0.499453551911886,0.31007209731197255
test_283,0.7866243943288909,0.7886529926827464,0.7846062052501285,0.7024599904781055
test_284,0.8829625335162816,0.917055547191153,0.851313583006077,0.8971785297331268
test_285,0.7752543102121223,0.9433807030658613,0.6579894621520903,0.716995331687215
test_286,0.6697432455104297,0.8028565680933356,0.5744925867272571,0.6745198139542048
test_287,0.7278371852356607,0.8882340559863434,0.6165084002912834,0.7342514710053678
test_288,0.7375229269227362,0.7776872964153548,0.7013034697986024,0.7906267978821201
test_289,0.7384216561140942,0.7256515775027182,0.7516492438843482,0.7770685632780153
test_28,0.3963765261911017,0.713961407489461,0.2743430378363599,0.3557877144015567
test_290,0.8399805784831518,0.8985012613134018,0.7886168272977486,0.8689777800541921
test_291,0.8133823245015062,0.8607094133685393,0.7709886349740059,0.8483767758376642
test_292,0.806311756402094,0.9312914871306261,0.7109076362336999,0.7978219785827958
test_293,0.8177029992678729,0.8222745328809441,0.8131820165854603,0.8328654928867849
test_294,0.8373490495170524,0.959862233407127,0.7425701988104708,0.7831934305897281
test_295,0.7179793158310589,0.8337952697701091,0.6304135233300988,0.6659077850138505
test_296,0.6581408140809556,0.6434525410047816,0.6735153391490663,0.6371312907070207
test_297,0.7265460514574719,0.9508686717719494,0.5878616388516557,0.610856026377301
test_298,0.4160595502055622,0.41331025802326415,0.41884566326463835,0.4176968198770023
test_299,0.716587279349456,0.8564969859329262,0.6159682080917437,0.7720320720730106
test_29,0.851559132058592,0.9434803375243696,0.775959146260605,0.8239648822427017
test_2,0.5884858477599694,0.4810737953493417,0.7576508048810231,0.5435892834306753
test_300,0.7409140969157896,0.8735594870948328,0.6432413051265169,0.749819600319235
test_30,0.8051257637067344,0.8412369424632389,0.7719872185021515,0.748334157271483
test_31,0.6197418973497095,0.8712089738251334,0.48092653466823565,0.5918488060940039
test_32,0.771211404880252,0.7324031221933187,0.8143625192006033,0.7640668471358114
test_33,0.6345152491933617,0.5922240222157088,0.683311081440098,0.6653711523366028
test_34,0.8193536334757898,0.9337875239494704,0.7299051422853555,0.8146616593768441
test_35,0.6904942965774694,0.5431803350004968,0.9474483020281779,0.6876734574098563
test_36,0.8228424950150791,0.846221441123541,0.8007206208414624,0.7786687995939194
test_37,0.7150837988820762,0.7373014487681318,0.6941659819216202,0.7461703963339973
test_38,0.7679587169408503,0.7340807174879662,0.8051149637270317,0.7971450618524201
test_39,0.9239780206503689,0.9483143282090378,0.9008595313777217,0.9193992502037179
test_3,0.792086418254322,0.800277959449967,0.7840608730470291,0.7943495747428977
test_40,0.7237932443979325,0.6769776171272924,0.7775648702588602,0.7305512041949949
test_41,0.821080296008838,0.953268026335389,0.7210884353732736,0.7638946541508103
test_42,0.586026117624072,0.6572589266609852,0.5287237702089289,0.5369968706104149
