case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_157,0.584764598908575,0.674670707540885,0.5160024962106481,0.5528349457129675
test_158,0.8951906097425,0.8971476160714197,0.8932421227178831,0.9178278935717865
test_159,0.8230523868731021,0.8364835164825972,0.810045759284016,0.828922966977481
test_15,0.6740259740252446,0.8238095238073444,0.5703296703286258,0.6747260896152306
test_160,0.7724909251439492,0.8099156552133102,0.738372093021871,0.8028425992122009
test_161,0.6108328479903257,0.5476190476184757,0.6905451672363833,0.6262639542054329
test_162,0.29428736295407465,0.7395591647288889,0.18369111079068767,0.28988052428773287
test_163,0.5965350752623706,0.5919954904164689,0.6011448196902104,0.6486457197920323
test_164,0.8607100390684043,0.8605638586941906,0.8608562691116873,0.9192059860353857
test_165,0.8534723362334372,0.8545245335737203,0.8524227268993585,0.8691559497891707
test_166,0.6668794213070225,0.7463983807587254,0.6026725629680805,0.6488094372996475
test_167,0.9071891294040426,0.9111915190751532,0.9032217467902698,0.9106648083289469
test_168,0.6294079931602592,0.6179185900112927,0.6413327526118437,0.5384151570853624
test_169,0.8420388196300757,0.9275160785660916,0.7709868516099249,0.8739155691638373
test_16,0.7330179754013878,0.8628062360782566,0.637171052630531,0.7337281589358081
test_170,0.6965742251218325,0.7150251179772948,0.6790516119695258,0.673565561982857
test_171,0.8047019802942129,0.814313919051516,0.7953143077508722,0.7493677031852058
test_172,0.8236665695127813,0.845601436264697,0.8028409090899967,0.7483894160495417
test_173,0.7113068124300479,0.8045569040522045,0.6374274310589283,0.6785624103631371
test_174,0.8005907626206229,0.8951540263010297,0.7240977315778286,0.6630852586525717
test_175,0.7562550881949762,0.7975045787536658,0.7190628547830332,0.7625849102076752
test_176,0.8346058320297881,0.9185057703979362,0.7647505057309805,0.8432707189942518
test_177,0.49759066700450316,0.46023926812050164,0.5415401600875772,0.4581795229517578
test_178,0.8569486918081654,0.8648834019145071,0.849158249152531,0.8932578216708547
test_179,0.28584458226898407,0.3326257694749891,0.25059971213777293,0.3518595565926778
test_17,0.6686767169171762,0.5283218634188666,0.91058394160307,0.6682071452462566
test_180,0.6693085000977426,0.5546798029538434,0.8436563436521296,0.607407884870508
test_181,0.71065681611137,0.8421683857029957,0.6146708683468008,0.7434977144074316
test_182,0.7338593974161874,0.7508256880706392,0.7176429323019374,0.7214039578360126
test_183,0.7863551217584608,0.8843552500267386,0.7079080500570623,0.8246413749837923
test_184,0.8460963366437861,0.870740822157759,0.8228084752795775,0.8750861844090155
test_185,0.8555355535547138,0.7743380855386635,0.9557566616374129,0.837199847411057
test_186,0.6818908426573624,0.7376482213420513,0.6339702760071466,0.6390576314983795
test_187,0.6526185857867637,0.8547344110834764,0.5278094694801372,0.6734817264947504
test_188,0.4679867986793531,0.4299575500294523,0.513396089788768,0.50399033376484
test_189,0.8871923836888025,0.8509648518248605,0.9266416510301564,0.898183895609507
test_18,0.774804296376502,0.7481103884676602,0.8034736643367879,0.7866317393050167
test_190,0.8067507170963866,0.899315883401399,0.7314624410297187,0.8233235753470084
test_191,0.7458572092297151,0.8313481788350918,0.6763095070907509,0.766698508161139
test_192,0.7638827515092326,0.846970439325744,0.6956405097240836,0.8015822527214681
test_193,0.8802113431842811,0.8807203039800418,0.8797029702955781,0.9405763693478774
test_194,0.6533391279150836,0.7475138121538701,0.5802384424045113,0.6255003223880192
test_195,0.9391417425223497,0.9318709677411338,0.9465268676269579,0.9520749939566113
test_196,0.9160043726176867,0.9438626400383926,0.8897434425753947,0.940667179007996
test_197,0.819892655750513,0.8685763638968352,0.7763767370036331,0.7750773360671964
test_198,0.826002272357713,0.9079393398734916,0.7576298942969218,0.8197819080261157
test_199,0.7605319355461266,0.8748325145144318,0.6726476648345873,0.7402786696655206
test_19,0.5469975186101503,0.6200495049497974,0.48934469898731187,0.47099303956301836
test_1,0.7538834633278142,0.76946748728824,0.7389181549521535,0.78570522300732
test_200,0.7023092820555744,0.7343104096197535,0.6729808851380463,0.7525826558225576
test_201,0.5685110425072678,0.9440063091457834,0.40672782874571667,0.5114389314612521
test_202,0.7719044868087945,0.8532354193264652,0.7047292545704071,0.8136762513100975
test_203,0.9296578990714789,0.9612764024517814,0.9000531632101009,0.9574401069399484
test_204,0.8481136890037105,0.8914012213229151,0.8088356420810117,0.844270165340877
test_205,0.8524441762217666,0.8382167494986735,0.8671629191920288,0.8157026009867773
test_206,0.8075183179351337,0.93287207419265,0.7118625028075579,0.8151436664316692
test_207,0.6090769230764546,0.9053281500093635,0.4589080792854307,0.6102075666066963
test_208,0.6611004366809917,0.7758917589169528,0.5758977480215606,0.6655889842087589
test_209,0.8792541636491313,0.9183210436746848,0.8433755860385106,0.8722065717034537
test_20,0.8662747194009266,0.8344316309711342,0.9006445876851514,0.8281026455362529
test_210,0.5939307297416375,0.919517102613844,0.43862174872786386,0.6301510064941972
test_211,0.32148111819499664,0.22207165240939944,0.5820199778011498,0.30601855922715054
test_212,0.7626347305383132,0.7979949874673383,0.7302752293566815,0.6945518869462506
test_213,0.6045060658573618,0.6805853658523305,0.5437256430233145,0.5652420342015098
test_214,0.7345236108790528,0.7650330205068082,0.7063543003845424,0.7606130698785042
test_215,0.8002648421973071,0.7521261149123581,0.8549870313585122,0.8679560254894706
test_216,0.790392804171671,0.8292340126484998,0.7550274223027833,0.7044334725187315
test_217,0.8618046776229212,0.9211993243235462,0.80960510688776,0.8587226703377807
test_218,0.5092724679027163,0.5219298245608165,0.497214484679133,0.48705697278893717
test_219,0.635648358298808,0.6147205150708008,0.6580513784450845,0.6555641627634964
test_21,0.6398337785689285,0.6304398689744612,0.6495118717600945,0.615323980141516
test_220,0.87120322630003,0.8031814759028584,0.951812604572279,0.8441743623280824
test_221,0.8581210541191513,0.9520490660712628,0.7810623820682823,0.81847185103088
test_222,0.5798137903113076,0.6693146417435057,0.5114258509872512,0.5458956847653078
test_223,0.8147330003837808,0.8777030522494798,0.760193565731015,0.7990526450598312
test_224,0.6601048010194519,0.8715407629012045,0.531228630043007,0.5263026969110975
test_225,0.6566228100070511,0.8940040839040394,0.5188536953237245,0.5864038230046922
test_226,0.6365405133994624,0.8012324221823334,0.5280091628482632,0.5922507856541527
test_227,0.8101619060153192,0.946426374707254,0.7081971740227789,0.7342714668039596
test_228,0.8664606934425908,0.9355077835419785,0.8069053708429579,0.8940321346730222
test_229,0.6863254258172236,0.8943565037842459,0.556809255159211,0.6425365436520402
test_22,0.8180116367311824,0.8645064698953432,0.7762627232564083,0.8441558253431042
