partition,node_name,op_type,MH,MW,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
4,MVAU_rtl_9,MVAU_rtl,8,32,2,16,2,16,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,32,5.0,601,151,0,565,0,0,0,16
4,MVAU_rtl_10,MVAU_rtl,8,72,8,8,8,8,True,INT6,UINT6,INT16,6,6,dsp,True,block,internal_decoupled,64,6.17,896,0,0,1027,5,1,0,32
4,MVAU_rtl_11,MVAU_rtl,32,8,8,4,8,4,True,INT4,UINT6,INT12,4,6,dsp,True,auto,internal_decoupled,32,3.0,555,80,0,702,0,0,0,16
5,MVAU_rtl_0,MVAU_rtl,8,32,8,4,8,4,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,32,5.0,640,95,0,824,0,0,0,16
5,MVAU_rtl_1,MVAU_rtl,8,72,8,8,8,8,True,INT4,UINT6,INT14,4,6,dsp,True,block,internal_decoupled,64,6.17,807,0,0,678,4,0,0,32
5,MVAU_rtl_2,MVAU_rtl,32,8,4,8,4,8,True,INT6,UINT8,INT16,6,8,dsp,True,auto,internal_decoupled,32,3.0,606,135,0,666,0,0,0,16
5,MVAU_rtl_3,MVAU_rtl,8,32,2,16,2,16,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,32,5.0,583,150,0,563,0,0,0,16
5,MVAU_rtl_4,MVAU_rtl,8,72,8,8,8,8,True,INT4,UINT4,INT12,4,4,dsp,True,auto,internal_decoupled,64,6.17,963,122,0,964,0,0,0,16
5,MVAU_rtl_5,MVAU_rtl,32,8,16,2,16,2,True,INT4,UINT4,INT10,4,4,dsp,True,block,internal_decoupled,32,3.0,612,8,0,846,2,0,0,8
5,MVAU_rtl_6,MVAU_rtl,8,32,8,4,8,4,True,INT4,UINT6,INT13,4,6,dsp,True,auto,internal_decoupled,32,5.0,552,64,0,698,0,0,0,16
5,MVAU_rtl_7,MVAU_rtl,8,72,8,9,8,9,True,INT6,UINT4,INT14,6,4,dsp,True,auto,internal_decoupled,72,6.17,1075,214,0,1395,0,0,0,36
5,MVAU_rtl_8,MVAU_rtl,32,8,4,8,4,8,True,INT6,UINT4,INT11,6,4,dsp,True,auto,internal_decoupled,32,3.0,471,116,0,531,0,0,0,16
5,MVAU_rtl_9,MVAU_rtl,16,32,8,8,8,8,True,INT4,UINT6,INT13,4,6,dsp,True,auto,internal_decoupled,64,5.0,943,155,0,965,0,0,0,32
5,MVAU_rtl_10,MVAU_rtl,8,32,8,8,8,8,True,INT4,UINT6,INT13,4,6,dsp,True,auto,internal_decoupled,64,5.0,890,114,0,872,0,0,0,32
5,MVAU_rtl_11,MVAU_rtl,8,32,2,32,4,8,False,INT4,UINT6,INT14,4,6,dsp,True,auto,internal_decoupled,64,5.0,1055,222,0,750,0,0,0,32
5,MVAU_rtl_12,MVAU_rtl,16,256,4,8,2,32,False,UINT7,INT6,INT16,7,6,dsp,True,block,internal_decoupled,32,8.0,526,28,0,491,3,1,0,16
5,MVAU_rtl_13,MVAU_rtl,16,8,8,8,8,8,True,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,64,3.0,957,126,0,954,0,0,0,32
6,MVAU_rtl_0,MVAU_rtl,4,16,2,16,2,16,True,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,32,4.0,503,108,0,426,0,0,0,16
6,MVAU_rtl_1,MVAU_rtl,4,36,4,12,4,12,True,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,48,5.17,616,0,0,410,4,0,0,24
6,MVAU_rtl_2,MVAU_rtl,16,4,16,2,16,2,True,INT6,UINT6,INT13,6,6,dsp,True,auto,internal_decoupled,32,2.0,674,54,0,1060,0,0,0,16
6,MVAU_rtl_3,MVAU_rtl,4,16,4,8,4,8,True,INT6,UINT6,INT14,6,6,dsp,True,block,internal_decoupled,32,4.0,412,0,0,342,3,0,0,16
6,MVAU_rtl_4,MVAU_rtl,4,36,4,12,4,12,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,48,5.17,768,124,0,643,0,0,0,24
6,MVAU_rtl_5,MVAU_rtl,16,4,8,4,8,4,True,INT6,UINT4,INT11,6,4,dsp,True,auto,internal_decoupled,32,2.0,492,52,0,573,0,0,0,16
6,MVAU_rtl_6,MVAU_rtl,4,16,2,16,2,16,True,INT8,UINT4,INT14,8,4,dsp,True,auto,internal_decoupled,32,4.0,502,102,0,419,0,0,0,16
6,MVAU_rtl_7,MVAU_rtl,4,16,4,16,4,16,True,INT6,UINT4,INT12,6,4,dsp,True,auto,internal_decoupled,64,4.0,656,0,0,367,0,0,0,32
6,MVAU_rtl_8,MVAU_rtl,4,64,2,16,2,16,True,UINT7,INT6,INT16,7,6,dsp,True,auto,internal_decoupled,32,6.0,536,100,0,404,0,0,0,16
6,MVAU_rtl_9,MVAU_rtl,4,16,4,16,4,16,True,INT4,UINT6,INT12,4,6,dsp,True,auto,internal_decoupled,64,4.0,655,0,0,369,0,0,0,32
6,MVAU_rtl_10,MVAU_rtl,4,4,4,4,4,4,True,INT4,UINT4,INT9,4,4,dsp,True,block,internal_decoupled,16,2.0,220,0,0,223,0,0,0,4
7,MVAU_rtl_0,MVAU_rtl,1,4,1,4,1,4,True,INT4,UINT6,INT11,4,6,dsp,True,block,internal_decoupled,4,2.0,36,0,0,53,0,0,0,4
7,VVAU_hls_0,VVAU_hls,1,9,1,9,1,9,True,INT4,UINT8,INT13,4,8,dsp,True,auto,internal_decoupled,9,3.17,119,0,0,255,0,0,0,11
7,MVAU_rtl_1,MVAU_rtl,4,1,4,1,4,1,True,INT8,UINT8,INT16,8,8,dsp,True,auto,internal_decoupled,4,0.0,74,0,0,271,0,0,0,2
7,MVAU_rtl_2,MVAU_rtl,5,16,5,16,5,16,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,80,4.0,979,0,0,463,0,0,0,48
