partition,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
1,MVAU_rtl_19,MVAU_rtl,MVAU,32,8,32,1,32,3.0,INT6,UINT8,INT17,6,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,1067,96,0,2503,0,0,0,16
1,Thresholding_rtl_33,Thresholding_rtl,Thresholding,,,4,,,,INT17,INT17,INT8,17,17,,,,,32,255,,,,,,,,,,,,,,437,0,33,1702,0,20,0,0
2,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,71,0,9,313,2,5,0,0
2,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT8,9,8,,,,,32,255,,,,,,,,,,,,,,78,0,16,242,1,2,0,0
2,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,INT8,8,8,,,,,32,255,,,,,,,,,,,,,,74,0,14,280,1,3,0,0
2,MVAU_rtl_0,MVAU_rtl,MVAU,8,32,4,8,32,5.0,INT8,UINT8,INT19,8,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,546,40,0,504,4,0,0,16
2,Thresholding_rtl_3,Thresholding_rtl,Thresholding,,,1,,,,INT19,INT19,UINT6,19,19,,,,,8,63,,,,,,,,,,,,,,115,0,7,348,0,3,0,0
2,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,8,12,12,8,8,3,3,1,1,2,2,0,0,253,56,0,95,0,0,0,0
2,MVAU_rtl_1,MVAU_rtl,MVAU,8,72,8,8,64,6.17,INT6,UINT6,INT16,6,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,894,0,0,742,5,1,0,32
2,Thresholding_rtl_4,Thresholding_rtl,Thresholding,,,1,,,,INT16,INT16,UINT6,16,16,,,,,8,63,,,,,,,,,,,,,,95,0,7,304,0,3,0,0
2,MVAU_rtl_2,MVAU_rtl,MVAU,32,8,8,4,32,3.0,INT6,UINT6,INT13,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,615,112,0,798,0,0,0,16
2,Thresholding_rtl_5,Thresholding_rtl,Thresholding,,,4,,,,INT14,INT13,INT8,14,13,,,,,32,255,,,,,,,,,,,,,,357,0,33,1556,0,16,0,0
2,Thresholding_rtl_6,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,71,0,9,312,2,4,0,0
2,Thresholding_rtl_7,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT8,9,8,,,,,32,255,,,,,,,,,,,,,,76,0,16,242,0,0,0,0
2,Thresholding_rtl_8,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,INT8,8,8,,,,,32,255,,,,,,,,,,,,,,75,0,14,266,1,2,0,0
2,MVAU_rtl_3,MVAU_rtl,MVAU,8,32,4,8,32,5.0,INT6,UINT8,INT17,6,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,598,136,0,691,0,0,0,16
2,Thresholding_rtl_9,Thresholding_rtl,Thresholding,,,1,,,,INT17,INT17,UINT6,17,17,,,,,8,63,,,,,,,,,,,,,,106,0,7,323,0,3,0,0
2,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,8,16,16,8,8,3,3,1,1,4,4,0,0,405,144,0,102,0,0,0,0
2,MVAU_rtl_4,MVAU_rtl,MVAU,8,72,8,8,64,6.17,INT4,UINT6,INT14,4,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,931,123,0,927,0,0,0,32
