source,partition,node_name,op_type,MH,MW,Channels,Kernel,IFMChannels,IFMDim,OFMDim,ConvKernelDim,Stride,Dilation,depthwise,parallel_window,NumChannels,numSteps,ActVal,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,accDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,runtime_writeable_weights,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
separable_alpha025_partition3,3,Thresholding_rtl_7,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,67,0,14,154,0,0,0,0
separable_alpha025_partition3,3,Thresholding_rtl_8,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,60,0,16,215,1,3,0,0
separable_alpha025_partition3,3,MVAU_hls_8,MVAU_hls,8,32,,,,,,,,,,,,,,2,8,2,8,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,5.0,722,48,0,857,0,0,0,20
separable_alpha025_partition3,3,ConvolutionInputGenerator_rtl_4,ConvolutionInputGenerator_rtl,,,,,8,40x8,8x8,3x1,1x1,16x16,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,537,264,0,97,0,0,0,0
separable_alpha025_partition3,3,MVAU_hls_9,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT4,UINT4,INT13,6,4,dsp,True,block,internal_decoupled,0,16,4.58,1184,0,0,514,1,1,0,16
separable_alpha025_partition3,3,ConvolutionInputGenerator_rtl_5,ConvolutionInputGenerator_rtl,,,,,8,8x40,8x8,1x3,1x1,16x16,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,234,40,0,89,0,0,0,0
separable_alpha025_partition3,3,MVAU_hls_10,MVAU_hls,8,24,,,,,,,,,,,,,,2,6,2,6,True,INT6,UINT4,UINT6,INT13,6,4,dsp,True,block,internal_decoupled,0,12,4.58,1185,0,0,542,1,0,0,12
separable_alpha025_partition3,3,MVAU_hls_11,MVAU_hls,32,8,,,,,,,,,,,,,,16,1,16,1,True,INT4,UINT6,INT8,INT12,4,6,dsp,True,block,internal_decoupled,0,16,3.0,28792,0,0,1321,1,0,0,16
separable_alpha025_partition3,3,Thresholding_rtl_9,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,71,0,9,313,2,4,0,0
separable_alpha025_partition3,3,Thresholding_rtl_10,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,68,0,14,154,0,1,0,0
separable_alpha025_partition3,3,Thresholding_rtl_11,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,63,0,15,224,1,2,0,0
separable_alpha025_partition3,3,MVAU_hls_12,MVAU_hls,8,32,,,,,,,,,,,,,,1,16,1,16,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,5.0,715,48,0,1114,0,0,0,19
separable_alpha025_partition3,3,ConvolutionInputGenerator_rtl_6,ConvolutionInputGenerator_rtl,,,,,8,12x8,8x8,3x1,1x1,2x2,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,216,40,0,83,0,0,0,0
separable_alpha025_partition3,3,MVAU_hls_13,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT4,UINT4,INT13,6,4,dsp,True,auto,internal_decoupled,0,16,4.58,1246,48,0,610,0,0,0,16
separable_alpha025_partition3,3,ConvolutionInputGenerator_rtl_7,ConvolutionInputGenerator_rtl,,,,,8,8x12,8x8,1x3,1x1,2x2,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,158,8,0,77,0,0,0,0
separable_alpha025_partition3,3,MVAU_hls_14,MVAU_hls,8,24,,,,,,,,,,,,,,1,12,1,12,True,INT6,UINT4,UINT6,INT13,6,4,dsp,True,auto,internal_decoupled,0,12,4.58,964,36,0,1236,0,0,0,12
separable_alpha025_partition3,3,MVAU_hls_15,MVAU_hls,32,8,,,,,,,,,,,,,,16,1,16,1,True,INT4,UINT6,INT8,INT12,4,6,dsp,True,block,internal_decoupled,0,16,3.0,29453,0,0,1360,1,0,0,16
