stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_150,5x5 only,0.761421054009278,0.7682392096778655,0.754722856549328,0.9652366638183225
test_150,OR (6x6 | 5x5),0.7654221928539281,0.7018523327271263,0.8416545567776408,0.9620819091796508
test_150,confidence blend,0.765572422044227,0.7365114382999681,0.7970209674066862,0.96412277221676
test_151,6x6 only,0.7317975693811964,0.7142553643504608,0.7502231478720989,0.9717979431151973
test_151,5x5 only,0.7537482172050114,0.7079657583475737,0.8058613507878564,0.9729957580566034
test_151,OR (6x6 | 5x5),0.7411219109329963,0.6467457589529622,0.8677476941380037,0.9689102172851193
test_151,confidence blend,0.7624132771048965,0.7023182957389082,0.833754834869954,0.9733505249023066
test_152,6x6 only,0.44290878162851216,0.3170230576057248,0.7346147063996921,0.9600219726562134
test_152,5x5 only,0.3954996959251999,0.27750515610534277,0.6880620701804125,0.9544982910155886
test_152,OR (6x6 | 5x5),0.3967012053286544,0.2609324579947363,0.8270146358652318,0.9455833435058233
test_152,confidence blend,0.44337181528640357,0.3088388214902538,0.7855757362003428,0.9573287963866822
test_153,6x6 only,0.4468639979133871,0.45675063307949254,0.43739629865930135,0.9676361083984005
test_153,5x5 only,0.41675164865020276,0.4458830375320834,0.3911933631137317,0.9672737121581662
test_153,OR (6x6 | 5x5),0.4487663925314243,0.39740183052810013,0.5153797064447794,0.9621582031249633
test_153,confidence blend,0.450900639162986,0.4562320355363781,0.4456924058705224,0.9675559997558224
test_154,6x6 only,0.7947522872427673,0.7515507672208601,0.8432234432224136,0.986392974853478
test_154,5x5 only,0.8278702995346154,0.7990457798468714,0.8588522588512102,0.9888420104980091
test_154,OR (6x6 | 5x5),0.7968279143532663,0.7026573426566874,0.9201465201453967,0.9853401184081655
test_154,confidence blend,0.8306857368981679,0.7734498368241146,0.8970695970685018,0.9885749816894154
test_155,6x6 only,0.457083988504876,0.37304186211136114,0.5900055991033175,0.9618034362792601
test_155,5x5 only,0.5466431983904718,0.4265756220073569,0.760778275474859,0.9656105041503538
test_155,OR (6x6 | 5x5),0.492290269186997,0.35734159605390325,0.7910134378488368,0.9555358886718385
test_155,confidence blend,0.5058634616317912,0.38770791377609626,0.7276035834256332,0.9612617492675414
test_156,6x6 only,0.6955547254386355,0.6092045950264583,0.8104265402835763,0.9720191955566035
test_156,5x5 only,0.6730685635247291,0.5690231190695115,0.823677338233075,0.9684410095214474
test_156,OR (6x6 | 5x5),0.6505378265373082,0.5158694173653843,0.8803559338418798,0.9626960754394164
test_156,confidence blend,0.7136172765444057,0.6083458339011262,0.862946126316991,0.9726829528808222
test_157,6x6 only,0.4653780100118883,0.42174978475367786,0.5190740136937405,0.9441871643066045
test_157,5x5 only,0.3687979539640596,0.3341941464704448,0.4113955004887419,0.9340972900390269
test_157,OR (6x6 | 5x5),0.4522963979824966,0.35676286427175896,0.617704597325874,0.9299888610839488
test_157,confidence blend,0.4486083194220527,0.38536728124062897,0.5366807955652619,0.9382591247558235
test_158,6x6 only,0.5801321405597964,0.4336538461534671,0.8760374359864453,0.9726066589355097
test_158,5x5 only,0.5566183630216183,0.4119192946758122,0.8580257813864418,0.9704704284667598
test_158,OR (6x6 | 5x5),0.4936890418815769,0.3384907886970835,0.9117075754884131,0.9596023559569946
test_158,confidence blend,0.5471810089017819,0.3939558732128698,0.895461769378606,0.9679832458495724
test_159,6x6 only,0.5690248248992626,0.4919383733425353,0.6747591900917291,0.960330963134729
test_159,5x5 only,0.6128026261794777,0.5259932375313285,0.7339296245324022,0.9640045166015256
test_159,OR (6x6 | 5x5),0.5565689619158405,0.43089693833525716,0.7857283271075429,0.9514083862304324
test_159,confidence blend,0.5966899302091339,0.5020468424934554,0.7353056811473015,0.9614219665526976
test_16,6x6 only,0.6423735073244845,0.5810690423156112,0.7181392788319321,0.9778366088866814
test_16,5x5 only,0.5960859417077048,0.5273747749650245,0.6853839801807248,0.9742546081542597
test_16,OR (6x6 | 5x5),0.6155419222900572,0.5053905973837881,0.787090558765776,0.9727478027343378
test_16,confidence blend,0.6413030412305317,0.5692488262904724,0.7342416735470214,0.9772338867187127
test_160,6x6 only,0.5596858284240235,0.48198250728806763,0.6672586373899463,0.9751930236816034
test_160,5x5 only,0.5196460176987471,0.46274114235220937,0.5925088795599088,0.9741172790526972
test_160,OR (6x6 | 5x5),0.5241523455640245,0.4092475067992663,0.728769777202569,0.9687347412109005
test_160,confidence blend,0.5596439957488313,0.47540058677445785,0.6801743622849852,0.9747085571288691
test_161,6x6 only,0.47420841385438073,0.405027932960551,0.5718895661520593,0.9595222473144165
test_161,5x5 only,0.47837388673435954,0.3717218543043896,0.6708497669407543,0.953304290771448
test_161,OR (6x6 | 5x5),0.477738734216134,0.3528807758126909,0.7393330942981482,0.9484062194823857
test_161,confidence blend,0.5083716569181103,0.4057733428364891,0.6804111389976331,0.9579963684081665
test_162,6x6 only,0.262783171520881,0.2534907480982478,0.27278279990193893,0.952205657958948
test_162,5x5 only,0.3011774644911024,0.26522830837881034,0.3483997068160904,0.9495124816894168
test_162,OR (6x6 | 5x5),0.27987338433118797,0.2186126373624872,0.38883459565063666,0.9375152587890266
test_162,confidence blend,0.3051771117164515,0.28008574053253027,0.33520645003623845,0.9523353576659792
test_163,6x6 only,0.5111523279590473,0.4726057514726298,0.5565451532720003,0.9607887268066039
test_163,5x5 only,0.5335576923074358,0.49793610911656677,0.5746685998337048,0.9629898071288695
