case_id,mean_branch_purity,impure_branch_frac,n_branches,n_components_LAD,largest_component_ratio_LAD,n_components_RCA,largest_component_ratio_RCA,n_components_LCX,largest_component_ratio_LCX,spur_count,spur_density,n_fp_components,n_catheter_like_fp,catheter_like_fp_pixel_frac
test_205,0.9863013698630136,0.041666666666666664,24,1,1.0,0,,9,0.9416167664670658,15,0.39473684210526316,17,13,0.39054054054054055
test_206,1.0,0.0,6,0,,5,0.9970560685133146,0,,7,0.6363636363636364,10,8,0.747093023255814
test_207,0.9667994687915007,0.06666666666666667,15,6,0.5867949278530826,0,,3,0.4491150442477876,7,0.3684210526315789,13,10,0.7507788161993769
test_208,1.0,0.0,11,1,1.0,0,,9,0.6510630184002288,7,0.3888888888888889,15,10,0.6648313833448039
test_209,1.0,0.0,3,0,,2,0.9998951562172363,0,,2,0.3333333333333333,5,4,0.8666666666666667
test_21,1.0,0.0,14,2,0.9239033124440466,0,,11,0.7542060567216792,6,0.3,19,14,0.7669962917181706
test_210,1.0,0.0,15,1,1.0,0,,7,0.39172119920864407,12,0.46153846153846156,13,9,0.5543307086614173
test_211,1.0,0.0,26,18,0.47787369377555655,0,,1,1.0,18,0.375,18,4,0.16927417286483715
test_212,0.9145408163265306,0.12121212121212122,33,14,0.6216275499012941,0,,12,0.34756431308155444,27,0.54,15,5,0.07772174428952833
test_213,1.0,0.0,9,7,0.7686690223792697,0,,0,,2,0.18181818181818182,10,7,0.3950207468879668
test_214,0.9946695095948828,0.06666666666666667,15,2,0.99921875,0,,3,0.8969356486210419,4,0.21052631578947367,22,15,0.34973637961335674
test_215,1.0,0.0,6,4,0.8347887656360633,0,,0,,2,0.2222222222222222,12,9,0.42989214175654855
test_216,1.0,0.0,10,0,,2,0.9998805684939687,0,,5,0.4166666666666667,11,8,0.5828460038986355
test_217,1.0,0.0,10,0,,10,0.7624097266660572,0,,10,0.5,13,11,0.6371681415929203
test_218,1.0,0.0,31,3,0.9595278246205734,0,,13,0.282312925170068,22,0.4489795918367347,20,10,0.07358367701324071
test_219,1.0,0.0,10,8,0.37595466863759547,0,,0,,4,0.3333333333333333,16,10,0.11439902379499695
test_22,1.0,0.0,5,0,,2,0.9135372966335823,0,,1,0.16666666666666666,18,13,0.7251908396946565
