stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_112,confidence blend,0.7115384615380285,0.7292914171647589,0.6946292775657145,0.9819183349609
test_113,6x6 only,0.6413615770780939,0.6621997471546622,0.6217948717941336,0.9776535034179314
test_113,5x5 only,0.6274076229266061,0.6153407145296024,0.6399572649565052,0.9755744934081658
test_113,OR (6x6 | 5x5),0.6410364886300153,0.5780087736023478,0.719491927824407,0.9741058349609003
test_113,confidence blend,0.662635147516546,0.6825217063034069,0.6438746438738795,0.9789314270019157
test_114,6x6 only,0.5666162380229114,0.5321083538543927,0.605910267471305,0.9672164916991818
test_114,5x5 only,0.58610670892737,0.4951651294253978,0.7179680759267493,0.9641342163085569
test_114,OR (6x6 | 5x5),0.5780323666076839,0.45978842722377017,0.7781492666083065,0.9598159790038696
test_114,confidence blend,0.6245011600925177,0.5480534288967681,0.7257333908534018,0.9691314697265255
test_115,6x6 only,0.4579012857731581,0.515502428090184,0.41187882405549636,0.9750709533691034
test_115,5x5 only,0.28333057987751253,0.3172987974092187,0.255931950454774,0.9669036865234005
test_115,OR (6x6 | 5x5),0.41474850809859704,0.39579661016895484,0.4356066258760848,0.9685745239257443
test_115,confidence blend,0.3942852312110962,0.4547581903267263,0.3480077600352962,0.9726676940917597
test_116,6x6 only,0.40896181760775563,0.43035032375820964,0.3895986772878557,0.9714202880859004
test_116,5x5 only,0.400631911532069,0.42217413018075217,0.38118142191435267,0.9710540771484004
test_116,OR (6x6 | 5x5),0.38791095003857884,0.3406068871458795,0.45047347061408316,0.9639205932616819
test_116,confidence blend,0.43052742445075703,0.4669595782065607,0.39936870584638606,0.9731864929198847
test_117,6x6 only,0.48098663925979585,0.477285369923533,0.4847457627114079,0.9576187133788697
test_117,5x5 only,0.5686392310000157,0.6071199486844054,0.5347457627113609,0.967132568359338
test_117,OR (6x6 | 5x5),0.5565160658944068,0.4907940161101188,0.6425612052724646,0.9585113525390259
test_117,confidence blend,0.5345673299395953,0.5255686988166282,0.5438794726925198,0.961631774902307
test_118,6x6 only,0.5486574311608101,0.5323597743104342,0.5659844742403565,0.9798660278319938
test_118,5x5 only,0.5027294868560488,0.4797243147932686,0.5280522230054199,0.9774131774901971
test_118,OR (6x6 | 5x5),0.5037367059496236,0.4249515033942471,0.6183839096672223,0.9736557006835566
test_118,confidence blend,0.5649554976170412,0.5759853345543978,0.5543401552566084,0.9815406799316031
test_119,6x6 only,0.6585259485385532,0.5940983606549586,0.7386270992976706,0.9820785522460562
test_119,5x5 only,0.7221202554873194,0.656784188033311,0.801891407140385,0.9855613708495717
test_119,OR (6x6 | 5x5),0.6482473694399017,0.5365462705700613,0.8186857981398684,0.979213714599572
test_119,confidence blend,0.7287156175354582,0.6907683318716173,0.7710745149180318,0.9865684509276967
test_12,6x6 only,0.5488553336575266,0.5622754491006741,0.5360608943852787,0.9823341369628531
test_12,5x5 only,0.4541186513013622,0.41176470588171554,0.5061845861075049,0.9756050109862908
test_12,OR (6x6 | 5x5),0.45646182495310506,0.37503059975474295,0.583063748809547,0.9721641540526973
test_12,confidence blend,0.53690202736389,0.5649432534666563,0.5115128449086366,0.9823112487792593
test_120,6x6 only,0.43319307442889343,0.3967150979148494,0.4770586447880932,0.9686546325683224
test_120,5x5 only,0.4551658250303977,0.41315659068333355,0.506684898206462,0.9695434570312129
test_120,OR (6x6 | 5x5),0.41669980119260625,0.3327587771021203,0.5572774232747535,0.9608268737792601
test_120,confidence blend,0.43727926749480883,0.38389986219524125,0.5079003342441387,0.9671783447265255
test_121,6x6 only,0.6274440931971506,0.5659520540705819,0.7039274924462052,0.9757232666015252
test_121,5x5 only,0.6821249999995737,0.6506498151893995,0.7168002101658784,0.9805984497069938
test_121,OR (6x6 | 5x5),0.6188007331759,0.5145445044412867,0.7760409825288638,0.9722328186034785
test_121,confidence blend,0.6734681409978169,0.6295111923245437,0.7240246946003888,0.979610443115197
test_122,6x6 only,0.5701475267564794,0.5626605766469808,0.5778364116078046,0.9886627197265248
test_122,5x5 only,0.48586552539645694,0.39447695683907374,0.6323658751080845,0.9825859069823843
test_122,OR (6x6 | 5x5),0.5051392076634017,0.38290468986326337,0.7420111404258517,0.9810829162597282
test_122,confidence blend,0.5922944220808046,0.5811001410420844,0.60392846672353,0.9891815185546498
test_123,6x6 only,0.4512183468700896,0.49757639620548455,0.41276223776151616,0.9780921936034783
test_123,5x5 only,0.42886274509770284,0.38890469416729884,0.47797202797119237,0.9722213745116817
test_123,OR (6x6 | 5x5),0.44126984126952284,0.37567567567521415,0.53461538461445,0.9704589843749629
test_123,confidence blend,0.45419158834097195,0.49698732599107215,0.41818181818108713,0.9780693054198846
test_124,6x6 only,0.5661029278047981,0.6400082236835526,0.5074991848707959,0.9635925292968383
test_124,5x5 only,0.5413979881349232,0.5727669637979145,0.5132865992822683,0.9593048095702759
test_124,OR (6x6 | 5x5),0.6028963414631848,0.5661322645286528,0.6447668731654346,0.9602508544921509
test_124,confidence blend,0.58626317879016,0.6388808768381512,0.541653081186386,0.9642219543456663
test_125,6x6 only,0.6367509745257576,0.6453509739054661,0.628377169438847,0.984714508056603
