stem,threshold,view,dice_f1,precision,recall_sensitivity,accuracy
test_111,0.5,6x6 only,0.3350676378768238,0.4599999999985397,0.2635024549913375,0.9780616760253533
test_111,0.5,5x5 only,0.4644216133937743,0.48693397167267716,0.4438988907065941,0.9785232543944938
test_111,0.5,OR (6x6 | 5x5),0.45577055977845904,0.43409577093889407,0.47972358610569243,0.9759674072265252
test_111,0.5,confidence blend,0.4458086840044136,0.5771676300561354,0.36315693762436235,0.9810600280761345
test_111,0.25,6x6 only,0.36398880034421277,0.44626353313851,0.30732860520038674,0.9774703979491814
test_111,0.25,5x5 only,0.4701091665218592,0.44894919741775785,0.49336242953174514,0.9766693115234002
test_111,0.25,OR (6x6 | 5x5),0.4614062499996395,0.4044651417608486,0.5370067284951137,0.9737014770507441
test_111,0.25,confidence blend,0.4619727949350141,0.43618739902999,0.490998363337896,0.9760093688964471
test_112,0.5,6x6 only,0.6614967041484674,0.7251345990355269,0.6081273764251328,0.9800186157226188
test_112,0.5,5x5 only,0.7052378085486422,0.714791310714285,0.6959363117862453,0.9813232421874625
test_112,0.5,OR (6x6 | 5x5),0.7015265056893136,0.6582977393471628,0.7508317490485374,0.979488372802697
test_112,0.5,confidence blend,0.7115384615380285,0.7292914171647589,0.6946292775657145,0.9819183349609
test_112,0.25,6x6 only,0.6617159690679626,0.6843107387653157,0.640565589352851,0.9789733886718376
test_112,0.25,5x5 only,0.7013388259522249,0.6763407636275917,0.7282557034211878,0.9800872802734001
test_112,0.25,OR (6x6 | 5x5),0.6849616958753882,0.6133245630514815,0.7755465779458465,0.9770965576171502
test_112,0.25,confidence blend,0.6966194584618283,0.6410666134019364,0.7627138783260898,0.9786720275878532
test_113,0.5,6x6 only,0.6413615770780939,0.6621997471546622,0.6217948717941336,0.9776535034179314
test_113,0.5,5x5 only,0.6274076229266061,0.6153407145296024,0.6399572649565052,0.9755744934081658
test_113,0.5,OR (6x6 | 5x5),0.6410364886300153,0.5780087736023478,0.719491927824407,0.9741058349609003
test_113,0.5,confidence blend,0.662635147516546,0.6825217063034069,0.6438746438738795,0.9789314270019157
test_113,0.25,6x6 only,0.6449035498227115,0.6210156078252131,0.6707027540352911,0.976264953613244
test_113,0.25,5x5 only,0.6291333477411772,0.5773502578336202,0.691120607786454,0.9738159179687128
test_113,0.25,OR (6x6 | 5x5),0.6314661471014946,0.5354369734011767,0.7694681861339393,0.9711380004882442
test_113,0.25,confidence blend,0.6441866460424623,0.5694102634212291,0.7415716999041528,0.9736747741698847
test_114,0.5,6x6 only,0.5666162380229114,0.5321083538543927,0.605910267471305,0.9672164916991818
test_114,0.5,5x5 only,0.58610670892737,0.4951651294253978,0.7179680759267493,0.9641342163085569
test_114,0.5,OR (6x6 | 5x5),0.5780323666076839,0.45978842722377017,0.7781492666083065,0.9598159790038696
test_114,0.5,confidence blend,0.6245011600925177,0.5480534288967681,0.7257333908534018,0.9691314697265255
test_114,0.25,6x6 only,0.5671361502344755,0.5021616228795293,0.6514236410691852,0.9648284912109006
test_114,0.25,5x5 only,0.5762377052551232,0.46589472283192523,0.7550690250207559,0.9607200622558227
test_114,0.25,OR (6x6 | 5x5),0.5614311431141008,0.43037028518834497,0.8072691975832536,0.9553909301757447
test_114,0.25,confidence blend,0.5770169224712408,0.4542694261987518,0.7906600517679133,0.9589996337890259
test_115,0.5,6x6 only,0.4579012857731581,0.515502428090184,0.41187882405549636,0.9750709533691034
test_115,0.5,5x5 only,0.28333057987751253,0.3172987974092187,0.255931950454774,0.9669036865234005
test_115,0.5,OR (6x6 | 5x5),0.41474850809859704,0.39579661016895484,0.4356066258760848,0.9685745239257443
test_115,0.5,confidence blend,0.3942852312110962,0.4547581903267263,0.3480077600352962,0.9726676940917597
test_115,0.25,6x6 only,0.4779389077441546,0.49465112565784025,0.4623190568564956,0.9741821289062128
test_115,0.25,5x5 only,0.3045801526715232,0.3117674636657106,0.29771675869228814,0.9652481079101194
test_115,0.25,OR (6x6 | 5x5),0.4282298196856277,0.37767897856774085,0.4944038203245868,0.9662513732909788
test_115,0.25,confidence blend,0.4204481792714142,0.3960944715656471,0.4479928368893479,0.9684295654296505
test_116,0.5,6x6 only,0.40896181760775563,0.43035032375820964,0.3895986772878557,0.9714202880859004
test_116,0.5,5x5 only,0.400631911532069,0.42217413018075217,0.38118142191435267,0.9710540771484004
test_116,0.5,OR (6x6 | 5x5),0.38791095003857884,0.3406068871458795,0.45047347061408316,0.9639205932616819
test_116,0.5,confidence blend,0.43052742445075703,0.4669595782065607,0.39936870584638606,0.9731864929198847
test_116,0.25,6x6 only,0.39763520910853395,0.38649262201988294,0.40943935066825576,0.9685173034667599
test_116,0.25,5x5 only,0.38695276497667985,0.3713890808564321,0.40387794979647695,0.9675216674804318
test_116,0.25,OR (6x6 | 5x5),0.36435048807233616,0.2958724202623866,0.47407184728622564,0.9580192565917602
test_116,0.25,confidence blend,0.3886722495682486,0.3381535038928385,0.45693672027588017,0.9635200500487914
test_117,0.5,6x6 only,0.48098663925979585,0.477285369923533,0.4847457627114079,0.9576187133788697
test_117,0.5,5x5 only,0.5686392310000157,0.6071199486844054,0.5347457627113609,0.967132568359338
test_117,0.5,OR (6x6 | 5x5),0.5565160658944068,0.4907940161101188,0.6425612052724646,0.9585113525390259
test_117,0.5,confidence blend,0.5345673299395953,0.5255686988166282,0.5438794726925198,0.961631774902307
test_117,0.25,6x6 only,0.49856632405465673,0.4690015768939588,0.5321092278714387,0.9566383361816041
test_117,0.25,5x5 only,0.5852376706862253,0.5832943597412933,0.5871939736340986,0.9662818908691038
test_117,0.25,OR (6x6 | 5x5),0.5630511968844488,0.4735118474279371,0.6943502824852218,0.9563407897948853
test_117,0.25,confidence blend,0.5597662971705311,0.4867422924347646,0.658568738229135,0.9580345153808227
test_118,0.5,6x6 only,0.5486574311608101,0.5323597743104342,0.5659844742403565,0.9798660278319938
test_118,0.5,5x5 only,0.5027294868560488,0.4797243147932686,0.5280522230054199,0.9774131774901971
test_118,0.5,OR (6x6 | 5x5),0.5037367059496236,0.4249515033942471,0.6183839096672223,0.9736557006835566
test_118,0.5,confidence blend,0.5649554976170412,0.5759853345543978,0.5543401552566084,0.9815406799316031
test_118,0.25,6x6 only,0.5538389513104293,0.49650251818621083,0.626146788989721,0.978187561035119
test_118,0.25,5x5 only,0.5137823676812865,0.4510065324617371,0.5968595624548397,0.9755744934081658
test_118,0.25,OR (6x6 | 5x5),0.4955409073281016,0.39098511115603607,0.676429075510451,0.9702224731444942
test_118,0.25,confidence blend,0.5080255134222275,0.4214443539941604,0.639378969653071,0.9732246398925409
test_119,0.5,6x6 only,0.6585259485385532,0.5940983606549586,0.7386270992976706,0.9820785522460562
test_119,0.5,5x5 only,0.7221202554873194,0.656784188033311,0.801891407140385,0.9855613708495717
test_119,0.5,OR (6x6 | 5x5),0.6482473694399017,0.5365462705700613,0.8186857981398684,0.979213714599572
test_119,0.5,confidence blend,0.7287156175354582,0.6907683318716173,0.7710745149180318,0.9865684509276967
test_119,0.25,6x6 only,0.6474457662696659,0.5671202648025412,0.7542801239185484,0.9807815551757438
test_119,0.25,5x5 only,0.6918489065601618,0.5968772178843188,0.8227621066348887,0.9828529357909781
test_119,0.25,OR (6x6 | 5x5),0.6194016319125902,0.49212447176287727,0.835480189139352,0.9759788513183221
test_119,0.25,confidence blend,0.6457135556403183,0.5308265938446267,0.8240665253532952,0.9788436889648063
test_12,0.5,6x6 only,0.5488553336575266,0.5622754491006741,0.5360608943852787,0.9823341369628531
test_12,0.5,5x5 only,0.4541186513013622,0.41176470588171554,0.5061845861075049,0.9756050109862908
test_12,0.5,OR (6x6 | 5x5),0.45646182495310506,0.37503059975474295,0.583063748809547,0.9721641540526973
test_12,0.5,confidence blend,0.53690202736389,0.5649432534666563,0.5115128449086366,0.9823112487792593
test_12,0.25,6x6 only,0.5364611747585593,0.5136688142077074,0.561370123690654,0.9805526733398063
test_12,0.25,5x5 only,0.4392320792688967,0.3702205402579013,0.5398667935289442,0.9723663330077754
test_12,0.25,OR (6x6 | 5x5),0.4324901555092888,0.33305921052597337,0.6165556612738029,0.9675636291503537
test_12,0.25,confidence blend,0.45835488877358777,0.3746979217008522,0.5901046622253281,0.9720420837401973
test_120,0.5,6x6 only,0.43319307442889343,0.3967150979148494,0.4770586447880932,0.9686546325683224
test_120,0.5,5x5 only,0.4551658250303977,0.41315659068333355,0.506684898206462,0.9695434570312129
test_120,0.5,OR (6x6 | 5x5),0.41669980119260625,0.3327587771021203,0.5572774232747535,0.9608268737792601
test_120,0.5,confidence blend,0.43727926749480883,0.38389986219524125,0.5079003342441387,0.9671783447265255
test_120,0.25,6x6 only,0.42934304735559015,0.36595289079189935,0.5192950470973575,0.9653396606444944
