case_id,dice_original,dice_enhanced,delta
test_209,0.8595174772032392,0.8660436137067563,0.006526136503517077
test_21,0.7075055892681523,0.7102674066594915,0.002761817391339183
test_210,0.7369307653429519,0.7417579362869062,0.004827170943954351
test_211,0.41814343292149053,0.40880970056891314,-0.009333732352577395
test_212,0.6348539280142107,0.6075932992687357,-0.02726062874547497
test_213,0.5392120075041845,0.5365944734871764,-0.0026175340170081496
test_214,0.7267782782354352,0.7268716861078571,9.34078724219578e-05
test_215,0.7940552016975772,0.7852479670131883,-0.00880723468438882
test_216,0.8006006316984411,0.8024748646554254,0.0018742329569843008
test_217,0.8260210560809365,0.8341789482158194,0.008157892134882938
test_218,0.6097319750763477,0.6100733496329535,0.0003413745566057669
test_219,0.6341194318020728,0.6277137496645485,-0.006405682137524238
test_22,0.8309307970471932,0.831324708544035,0.00039391149684175897
test_220,0.757213041536062,0.7487658674185698,-0.008447174117492184
test_221,0.8499873192997559,0.8618247900736741,0.011837470773918168
test_222,0.67104508066016,0.6728057919467338,0.0017607112865738461
test_223,0.8198555115353904,0.8136671738825961,-0.006188337652794251
test_224,0.6757893966555648,0.6731548480460662,-0.0026345486094986326
test_225,0.7668301909091749,0.7702075127853917,0.0033773218762167545
test_226,0.6578716945883731,0.666473351504572,0.008601656916198852
test_227,0.8233184322692527,0.8240762379577721,0.0007578056885193529
test_228,0.8747093420866675,0.8766300266260144,0.0019206845393469063
test_229,0.6497339810313904,0.6571861094542606,0.007452128422870241
test_23,0.7373242437145959,0.75285328906334,0.015529045348744108
test_230,0.7527022271375231,0.7482507071605636,-0.004451519976959473
test_231,0.7677295352615604,0.772636791765416,0.004907256503855595
test_232,0.23443605105475865,0.252958326187401,0.018522275132642346
test_233,0.8082582912361035,0.8060434166025929,-0.002214874633510555
test_234,0.7617036571117074,0.7647085141600981,0.0030048570483907078
test_235,0.7659001561738564,0.7606928999140501,-0.0052072562598063366
test_236,0.707759699623977,0.6962928851019293,-0.011466814522047675
test_237,0.7902492769585523,0.7917095600845572,0.0014602831260048799
test_238,0.7744583373095595,0.7769838285062269,0.002525491196667451
test_239,0.8340073694609202,0.8313948326371025,-0.0026125368238177904
test_24,0.6741058232333179,0.6728029804947967,-0.001302842738521215
test_240,0.7435243122310121,0.7391932819380715,-0.004331030292940574
test_241,0.7961919873059926,0.7995264404097873,0.0033344531037946545
test_242,0.8507712321124631,0.8529195289494278,0.0021482968369647137
test_243,0.4737709072475457,0.48217359232820123,0.008402685080655503
test_244,0.6571841315694441,0.6587601078160013,0.0015759762465571425
test_245,0.6249999999993401,0.6251970158656874,0.0001970158663473498
test_246,0.7375042891451804,0.7290568576871542,-0.008447431458026178
test_247,0.8547145408629335,0.8549225968299241,0.00020805596699058349
test_248,0.8771137293200189,0.8779955105254638,0.0008817812054449092
test_249,0.8153826819147822,0.8295039326185486,0.014121250703766353
test_25,0.6740444021992843,0.6740444021992843,0.0
test_250,0.7840515106483505,0.7799384615379815,-0.004113049110369027
test_251,0.8336002135035804,0.8349643831963018,0.001364169692721462
test_252,0.1512977421395323,0.2068547164086474,0.0555569742691151
test_253,0.5309836775956508,0.5233300241093131,-0.00765365348633773
test_254,0.7638954869355645,0.7585746277449579,-0.005320859190606653
test_255,0.7190621814471361,0.7294635268232941,0.010401345376158
test_256,0.8840240641703843,0.8801649484528823,-0.003859115717501971
test_257,0.8631189804447289,0.8660508083132543,0.002931827868525416
test_258,0.7818476499187323,0.7867582320828824,0.004910582164150079
test_259,0.8813051938325989,0.8699544987517467,-0.01135069508085218
test_26,0.901070882201809,0.8942453306399618,-0.006825551561847165
test_260,0.8926133593363648,0.8932863906756748,0.0006730313393100706
test_261,0.8469721767587176,0.8439727802974368,-0.002999396461280779
test_262,0.7266257450398304,0.7164050370875311,-0.010220707952299235
test_263,0.8309617271830035,0.8227756286261951,-0.008186098556808408
test_264,0.8554204762378903,0.8567708333329043,0.0013503570950139654
test_265,0.8170485175195273,0.8211931581136244,0.0041446405940970266
test_266,0.5703223308483493,0.6322294991231139,0.06190716827476461
test_267,0.82704244254181,0.8378870673938766,0.010844624852066609
test_268,0.852970795568446,0.848443675888804,-0.004527119679642033
test_269,0.599437587876426,0.602665004285356,0.003227416408929984
test_27,0.8340397240913869,0.8340397240913869,0.0
test_270,0.7602128235184596,0.7729558908618093,0.012743067343349623
test_271,0.8924106356745092,0.89582240866903,0.0034117729945207786
test_272,0.6585657370504809,0.6788321167870173,0.020266379736536333
test_273,0.5282946918850945,0.5310817246051024,0.0027870327200079092
test_274,0.9404380341874061,0.9403911621380813,-4.6872049324853116e-05
test_275,0.8664277569629691,0.8713318284417354,0.004904071478766259
test_276,0.5695978416654838,0.5675382173581425,-0.002059624307341301
test_277,0.8073320845594473,0.815795298596301,0.008463214036853683
test_278,0.669338110503173,0.6695529411761555,0.00021483067298244674
test_279,0.7408007197477549,0.746638169026295,0.00583744927854013
test_28,0.5992818671451529,0.5930196461037771,-0.006262221041375748
test_280,0.8477735588534016,0.8483809001091874,0.0006073412557858759
test_281,0.6089447421912687,0.6108202443275367,0.0018755021362679702
test_282,0.6629736673083951,0.6765367025806708,0.013563035272275648
test_283,0.8709972552604754,0.8709362091253205,-6.104613515489632e-05
test_284,0.8974271012000703,0.8980486134879164,0.0006215122878461266
test_285,0.7916264478762092,0.8074324324321932,0.015805984555984032
test_286,0.7631644621905306,0.7711122128567417,0.007947750666211117
test_287,0.7530377943511665,0.7604114816652062,0.007373687314039756
test_288,0.8259148402038949,0.8275529865117268,0.001638146307831878
test_289,0.7773269689732831,0.7911567767254726,0.013829807752189449
test_29,0.871695680205694,0.870778477389188,-0.0009172028165059798
test_290,0.8855248174687618,0.8823685961404641,-0.003156221328297626
test_291,0.8702958579876506,0.8619435302264207,-0.00835232776122996
test_292,0.8830492207847525,0.8839965358489976,0.0009473150642451689
test_293,0.8054209676281121,0.8016436829636427,-0.0037772846644693603
test_294,0.8721820731307991,0.8744416339266592,0.002259560795860094
test_295,0.7193040323242684,0.7278519789238541,0.008547946599585687
test_296,0.7273796398377601,0.7280541997517825,0.0006745599140224323
test_297,0.8297139915706883,0.8369509703776695,0.007236978806981265
test_298,0.45013360917123507,0.45270043609489036,0.0025668269236552854
test_299,0.7336496802140612,0.7314114359703323,-0.0022382442437288708
test_3,0.7086268410938118,0.715108631559525,0.0064817904657131775
test_30,0.8262891477012114,0.8216115131308148,-0.004677634570396605
test_300,0.7321465678459983,0.742688856927099,0.010542289081100664
test_31,0.6641959859456783,0.6638445256875775,-0.00035146025810084414
test_32,0.7232664732346313,0.7273486778893323,0.004082204654700994
test_33,0.7838856400249722,0.7837385822709588,-0.00014705775401335774
test_34,0.8824605733197852,0.8837249782411803,0.0012644049213951236
test_35,0.7135971958516769,0.7060931899636516,-0.007504005888025356
test_36,0.8494683827638154,0.8466981132069598,-0.0027702695568556646
test_37,0.4856273764254862,0.536339407908567,0.050712031483080844
test_38,0.7779607197455145,0.7700590482802072,-0.007901671465307292
test_39,0.9296823395178467,0.9296823395178467,0.0
test_4,0.7869608165948925,0.7875720970721583,0.0006112804772657743
test_40,0.710202803225781,0.7093764577823397,-0.0008263454434412898
test_41,0.8192339487456467,0.8240049325198163,0.004770983774169624
test_42,0.737548435874929,0.7440029985000525,0.00645456262512345
test_43,0.8303044144993865,0.8315704350636158,0.0012660205642293088
test_44,0.8912660798904655,0.8936285097180162,0.0023624298275507494
test_45,0.8898485493577702,0.8952712852244815,0.00542273586671127
test_46,0.7414932680534018,0.7611303344862969,0.01963706643289509
test_47,0.8201565975075953,0.8170628183359153,-0.0030937791716799667
test_48,0.8861490031473727,0.8887144259071712,0.0025654227597985413
test_49,0.6978205379928674,0.69126389247823,-0.006556645514637416
test_5,0.7527659574462746,0.7559175717065191,0.003151614260244462
test_50,0.14811048974724944,0.1480352303520528,-7.525939519664737e-05
test_51,0.7751190746196557,0.7727966532869168,-0.0023224213327388554
test_52,0.8160102602464511,0.8071175880454051,-0.008892672201045948
test_53,0.9383603765547385,0.9380104810911014,-0.00034989546363706214
test_54,0.7139840831569952,0.7139840831569952,0.0
test_55,0.8218013856805341,0.8139407244778504,-0.007860661202683694
test_56,0.6905856727972588,0.7055459581815061,0.014960285384247318
test_57,0.8169966199895538,0.8096601756387841,-0.007336444350769633
test_58,0.7884592645141371,0.7900900370736244,0.0016307725594872924
test_59,0.8538002752711218,0.8573496913812172,0.0035494161100954047
test_6,0.7496061338090801,0.74326805385519,-0.00633807995389013
test_60,0.9044236164999675,0.907385419139808,0.0029618026398404718
test_61,0.7966193130724719,0.7973357015978708,0.0007163885253989033
test_62,0.7034650455924201,0.7038599027992514,0.00039485720683130054
test_63,0.7441953031705292,0.747020902519537,0.0028255993490078346
test_64,0.7110655737699714,0.7062150989914379,-0.004850474778533509
test_65,0.8646932646928938,0.8693799275513022,0.0046866628584084635
test_66,0.6960401561622085,0.6911371391674894,-0.004903016994719067
test_67,0.7212160413963764,0.7009619406098901,-0.020254100786486262
test_68,0.8307623518884933,0.8322494827070408,0.0014871308185474552
test_69,0.8466786355465629,0.8439210088022318,-0.0027576267443311098
test_7,0.7312729948486156,0.7328078675242369,0.001534872675621246
test_70,0.8346405931010694,0.8450286198846246,0.010388026783555215
test_71,0.8381672423901204,0.8306684646498229,-0.007498777740297502
test_72,0.20466444550165477,0.27251943301263715,0.06785498751098237
test_73,0.6669374492279988,0.6675051730431015,0.0005677238151027275
test_74,0.6574621959228699,0.6310362173030294,-0.02642597861984053
test_75,0.645550689028605,0.6282755049194053,-0.017275184109199704
test_76,0.633403805495936,0.633403805495936,0.0
test_77,0.6124524761760665,0.6159317904990909,0.003479314323024396
test_78,0.8285475618665403,0.8450949286112046,0.016547366744664282
test_79,0.7466152940542908,0.7416148408011791,-0.005000453253111714
test_8,0.7656746605023024,0.7638665132331623,-0.0018081472691400258
test_80,0.7444636251537635,0.752542041454462,0.008078416300698499
test_81,0.821666395971397,0.8284372263348233,0.0067708303634262945
test_82,0.6189396261105614,0.6168783585731455,-0.0020612675374158673
test_83,0.662039617001539,0.6713610300771193,0.00932141307558032
test_84,0.7172966137412411,0.717638984213646,0.00034237047240492924
test_85,0.7371071366550294,0.748244055174115,0.011136918519085603
test_86,0.7901560990487668,0.7871737811041942,-0.002982317944572599
test_87,0.39255236617456835,0.41375379939131124,0.021201433216742893
test_88,0.312156862744792,0.32068662830359823,0.008529765558806246
test_89,0.6181510796890661,0.6270888973669385,0.008937817677872384
test_9,0.7303213786675308,0.7330891078887916,0.002767729221260784
test_90,0.8533797450487542,0.8513626639378423,-0.0020170811109119224
test_91,0.7856320515766477,0.7852873563212373,-0.0003446952554104765
test_92,0.7898911639911548,0.7993057458657172,0.009414581874562455
