case_id,dice_original,dice_thr0.08_cap5000,precision_added_thr0.08_cap5000,dice_thr0.05_cap20000,precision_added_thr0.05_cap20000
test_177,0.6440488656190966,0.6378297116300138,0.17475728155339806,0.634541920782364,0.20302013422818793
test_178,0.7982538197667657,0.7609841827745725,0.09178743961352658,0.7488532110070274,0.09252669039145907
test_179,0.43409520536137297,0.4525181658728368,0.5462686567164179,0.46203367447964505,0.5711297071129707
test_18,0.7896961159179012,0.8021814576095169,0.8231292517006803,0.8024837374326803,0.7067307692307693
test_180,0.7492410443214952,0.7424121405735974,0.11940298507462686,0.7321954090627188,0.09615384615384616
test_181,0.7516196886828979,0.7481972406315918,0.19004524886877827,0.7454124648699184,0.19953051643192488
test_182,0.7323624595457405,0.713476070527844,0.01744186046511628,0.7047884704777548,0.040293040293040296
test_183,0.8005869266811186,0.8005959309088875,0.4005681818181818,0.8029291805706327,0.45657015590200445
test_184,0.8830062540430865,0.8808284595155439,0.21348314606741572,0.8756498673735408,0.2119205298013245
test_185,0.9148902067631712,0.911572226655298,0.057692307692307696,0.9108422225752978,0.15476190476190477
test_186,0.7760185771577199,0.7722969606369982,0.35472370766488415,0.7678729037944808,0.330567081604426
test_187,0.6866544179048883,0.7155710464450712,0.8347107438016529,0.7175560341383763,0.6873889875666075
test_188,0.5528413473896007,0.5527732672416436,0.2647058823529412,0.5545877378430828,0.34177215189873417
test_189,0.8372714369200657,0.8374843815070074,0.4642857142857143,0.8360982083602885,0.3291139240506329
test_19,0.590582270063343,0.5840202399410005,0.1146067415730337,0.5828173687828971,0.1476923076923077
test_190,0.8015251856306097,0.820657523459006,0.903448275862069,0.8248890049615925,0.888283378746594
test_191,0.6476395918023333,0.6351056081568057,0.06907894736842106,0.6325267304440609,0.08031088082901554
test_192,0.7314320573427394,0.7400514449986836,0.9134615384615384,0.7452397079846879,0.8959537572254336
test_193,0.835477441564744,0.834034177327696,0.3597122302158273,0.8326241134744391,0.3512396694214876
test_194,0.669121192197822,0.662163325014774,0.1451990632318501,0.6595654026413892,0.1633587786259542
test_195,0.93546105560917,0.9329749261882814,0.07042253521126761,0.9321832504506745,0.09900990099009901
test_196,0.9224309918706125,0.8960651600318642,0.10350194552529182,0.8890590871696341,0.1089820359281437
test_197,0.8080156950666983,0.8113471212962469,1.0,0.815147188795421,0.5240274599542334
test_198,0.790390296998297,0.7946559579884201,0.7126436781609196,0.7955666894399183,0.5048231511254019
test_199,0.7835111542188247,0.7896031248489224,0.9316239316239316,0.7922477637776318,0.9137931034482759
test_2,0.6564616635053803,0.6448319299869755,0.05329153605015674,0.646862089316908,0.177319587628866
test_20,0.8832929782077571,0.8784518605390348,0.1791907514450867,0.8741399386043854,0.16181229773462782
test_200,0.778067658056884,0.7780542210017253,0.3885350318471338,0.7774764850433109,0.37748344370860926
test_201,0.7576213774929383,0.7598772775651118,1.0,0.7611604351627103,0.9230769230769231
test_202,0.7564516907043768,0.7566587112168226,0.3881278538812785,0.75685939428427,0.39104477611940297
test_203,0.9135871075293617,0.9136730407864962,0.46464646464646464,0.9144243493598839,0.5106382978723404
test_204,0.8749425287352969,0.871988411100613,0.14393939393939395,0.8689059064368531,0.1510791366906475
test_205,0.8567676143383588,0.8622099912086296,0.6872727272727273,0.8630573248404371,0.5983606557377049
test_206,0.8394503816788766,0.8372914383139464,0.0425531914893617,0.8379609939845446,0.27380952380952384
test_207,0.7773327993587122,0.8043859079992185,0.8723897911832946,0.8084887459801874,0.8151408450704225
test_208,0.7183520863459072,0.7180921742776704,0.3441295546558704,0.7199832950509083,0.42036553524804177
test_209,0.8595174772032392,0.8660436137067563,0.9615384615384616,0.8694424841209741,0.9597989949748744
test_21,0.7075055892681523,0.7102674066594915,0.4626865671641791,0.7104917827902827,0.4224137931034483
test_210,0.7369307653429519,0.7417579362869062,0.6123595505617978,0.7414871823261494,0.5317460317460317
test_211,0.41814343292149053,0.40880970056891314,0.0675422138836773,0.40728557504848484,0.09554140127388536
test_212,0.6348539280142107,0.6075932992687357,0.01977401129943503,0.603749440142937,0.03995433789954338
test_213,0.5392120075041845,0.5365944734871764,0.0,0.5389722601177453,0.2656716417910448
test_214,0.7267782782354352,0.7268716861078571,0.3902439024390244,0.7278796585816243,0.4621212121212121
test_215,0.7940552016975772,0.7852479670131883,0.2450592885375494,0.7792915531326302,0.2
test_216,0.8006006316984411,0.8024748646554254,0.6219512195121951,0.8027553590701677,0.55
test_217,0.8260210560809365,0.8341789482158194,0.6524822695035462,0.8346601592187723,0.5972696245733788
test_218,0.6097319750763477,0.6100733496329535,0.3201754385964912,0.6049120092822448,0.19696969696969696
test_219,0.6341194318020728,0.6277137496645485,0.2037914691943128,0.6242721016406668,0.19508196721311474
test_22,0.8309307970471932,0.831324708544035,0.44366197183098594,0.8310645382426642,0.42127659574468085
test_220,0.757213041536062,0.7487658674185698,0.05704697986577181,0.7441921397376663,0.08627450980392157
test_221,0.8499873192997559,0.8618247900736741,0.9327956989247311,0.8641689841574651,0.9193899782135077
test_222,0.67104508066016,0.6728057919467338,0.5555555555555556,0.6743037974679276,0.5555555555555556
test_223,0.8198555115353904,0.8136671738825961,0.1206896551724138,0.8092781151541896,0.15022421524663676
test_224,0.6757893966555648,0.6731548480460662,0.22006472491909385,0.6807196848714714,0.419811320754717
test_225,0.7668301909091749,0.7702075127853917,0.6956521739130435,0.7705455396858051,0.5757575757575758
test_226,0.6578716945883731,0.666473351504572,0.9910714285714286,0.6693268563493701,0.9440993788819876
test_227,0.8233184322692527,0.8240762379577721,0.8285714285714286,0.8243081875289902,0.8260869565217391
test_228,0.8747093420866675,0.8766300266260144,1.0,0.878540305010295,0.8636363636363636
test_229,0.6497339810313904,0.6571861094542606,0.7663043478260869,0.6699244378079409,0.7839506172839507
test_23,0.7373242437145959,0.75285328906334,0.668,0.7550727608108678,0.6027027027027027
test_230,0.7527022271375231,0.7482507071605636,0.20384615384615384,0.7476755687434482,0.22188449848024316
test_231,0.7677295352615604,0.772636791765416,0.5490196078431373,0.7726286348069765,0.4977578475336323
test_232,0.23443605105475865,0.252958326187401,0.8620689655172413,0.2616170212763731,0.8025751072961373
