case_id,dice_original,dice_window,dice_raster
test_150,0.9010513634867756,0.8999590107935784,0.9009413309980022
test_151,0.7875394653753788,0.7883168978769897,0.788489813064151
test_152,0.6095451155849294,0.5976794778820901,0.6045995711006399
test_153,0.6791958859273687,0.6790688978211843,0.6790688978211843
test_154,0.9130353000182374,0.9096685771237791,0.9120851596738183
test_155,0.8149128612391977,0.8145214521446171,0.815571061328817
test_156,0.8826995179427946,0.8805556904838584,0.8823128589502178
test_157,0.573086652447511,0.5734522040611325,0.5729435084238984
test_158,0.876026815219643,0.8715492957738294,0.8731652239359492
test_159,0.8279307540369304,0.8281123569524748,0.8268952336822685
test_16,0.7020182787502837,0.7039878753427071,0.7021579998092002
test_160,0.6993896236006278,0.6920560355669053,0.6962612878718066
test_161,0.5882887561668474,0.591093117408527,0.5873836608062387
test_162,0.7632357777040749,0.7632357777040749,0.7632357777040749
test_163,0.5596692351058324,0.5596692351058324,0.5596692351058324
test_164,0.7956245325347834,0.7961872722168056,0.7961872722168056
test_165,0.8950800726428533,0.8950604547514154,0.8950604547514154
test_166,0.6484764221986742,0.6474696588043007,0.6476925736010556
test_167,0.8969993476839866,0.896675358539473,0.8969677208996097
test_168,0.6169465052708966,0.6147381526724653,0.6160804803863245
test_169,0.8536492166596457,0.8546591429000651,0.8542844050703724
test_17,0.6107594936701958,0.6101388732069435,0.610552479945079
test_170,0.8112225658037474,0.8099296035562727,0.8123123123117024
test_171,0.8456512862388497,0.8402205250109553,0.8458679158812333
test_172,0.8176042508947571,0.8062637797496713,0.8154155881502355
test_173,0.7886848635231818,0.782805207565324,0.7873455264454833
test_174,0.8833746898260671,0.8905059271801201,0.8867558297213735
test_175,0.7859114497069747,0.7858989165699907,0.7861042183618494
test_176,0.8474818218312675,0.8436203090504001,0.846584845250424
test_177,0.6440488656190966,0.6416301550868339,0.6433751743370687
test_178,0.7982538197667657,0.7562589928035791,0.7930082796663814
test_179,0.43409520536137297,0.43868912915896513,0.43514501998772204
test_18,0.7896961159179012,0.7898178891228596,0.7898178891228596
test_180,0.7492410443214952,0.7391734229765886,0.7430402563574143
test_181,0.7516196886828979,0.7491195706855822,0.7497167792553393
test_182,0.7323624595457405,0.7160148975780323,0.727884615383449
test_183,0.8005869266811186,0.8044645380047073,0.8025315259997154
test_184,0.8830062540430865,0.8734728566870957,0.880717199913635
test_185,0.9148902067631712,0.9106715584615483,0.9131477927056036
