seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
48,regular1.3.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
51,regular1.3.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
55,down2.pool,down2,MaxPool2d,64,128,128,64,64,64,2,2,2,2,1,1,8,,,,4096,0,0,122880,0,1744896,0,2097152,3842048,"pooling: SWU + comparator array, no MVAU/weights"
56,down2.reduce.0,down2,Conv2d,64,128,128,32,64,64,2,2,2,2,1,1,8,8,256,32,4096,131072,33554432,122880,1824,1744896,2362232313,0,2363977209,
59,down2.conv.0,down2,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,4096,131072,37748736,131072,2048,1744896,2657511314,0,2659256210,
62,down2.expand.0,down2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
66,stage2.0.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
69,stage2.0.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,4096,131072,37748736,131072,2048,1744896,2657511314,0,2659256210,
72,stage2.0.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
76,stage2.1.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
