seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
243,up4.up.0,up4,ConvTranspose2d(as zero-insert+conv),32,64,64,32,128,128,2,2,1,1,1,1,8,8,128,32,1,32,4096,24,928,426,288658,0,289084,zero-inserted+padded to 129x129 then regular 2x2 stride-1 conv
246,up4.expand.0,up4,Conv2d,32,128,128,64,128,128,1,1,1,1,1,1,8,8,32,64,1,64,2048,16,512,426,144479,0,144905,
250,regular4.0.reduce.0,regular4,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
253,regular4.0.conv,regular4,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
256,regular4.0.expand.0,regular4,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
260,regular4.1.reduce.0,regular4,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
263,regular4.1.conv,regular4,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
266,regular4.1.expand.0,regular4,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
270,up5.main_proj.0,up5,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
272,up5.reduce.0,up5,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
275,up5.up.0,up5,ConvTranspose2d(as zero-insert+conv),16,128,128,16,256,256,2,2,1,1,1,1,8,8,64,16,1,16,1024,12,240,426,72390,0,72816,zero-inserted+padded to 257x257 then regular 2x2 stride-1 conv
278,up5.expand.0,up5,Conv2d,16,256,256,16,256,256,1,1,1,1,1,1,8,8,16,16,1,16,256,8,64,426,18322,0,18748,
282,regular5.0.reduce.0,regular5,Conv2d,16,256,256,4,256,256,1,1,1,1,1,1,8,8,16,4,1,4,64,8,16,426,4806,0,5232,
285,regular5.0.conv,regular5,Conv2d,4,256,256,4,256,256,3,3,1,1,1,1,8,8,36,4,1,4,144,4,32,426,10438,0,10864,
288,regular5.0.expand.0,regular5,Conv2d,4,256,256,16,256,256,1,1,1,1,1,1,8,8,4,16,1,16,64,2,16,426,4806,0,5232,
292,final,final,ConvTranspose2d(as zero-insert+conv),16,256,256,5,512,512,2,2,1,1,1,1,8,8,64,5,1,5,320,24,75,426,22828,0,23254,zero-inserted+padded to 513x513 then regular 2x2 stride-1 conv
