node_name,op_type,PE,SIMD,parallel_window,mac_count,bop_count,param_memory_bits,param_memory_Mbits,swu_buffer_bits,swu_buffer_Mbits,exp_cycles,BRAM_18K,LUT,DSP
Thresholding_rtl_107,Thresholding_rtl,1,,,0,0,0,0.0,,,1310720,0,1558.0,0
AddStreams_hls_25,AddStreams_hls,1,,,0,0,0,0.0,,,1310720,0,0,0
Thresholding_rtl_108,Thresholding_rtl,1,,,0,0,0,0.0,,,1310720,0,738.0,0
DuplicateStreams_hls_26,DuplicateStreams_hls,1,,,0,0,0,0.0,,,1310720,0,0,0
MVAU_rtl_83,MVAU_rtl,1,1,,6553600,419430400,800,0.0008,,,6553600,1,0,1
Thresholding_rtl_109,Thresholding_rtl,1,,,0,0,0,0.0,,,327680,0,456.0,0
FMPadding_rtl_29,FMPadding_rtl,,5,,0,0,0,0.0,,,66564,0,0,0
ConvolutionInputGenerator_rtl_31,ConvolutionInputGenerator_rtl,,5,0,0,0,0,0.0,20760,0.02076,590343,0,860,0
MVAU_rtl_84,MVAU_rtl,1,1,,14745600,943718400,1800,0.0018,,,14745600,1,0,1
Thresholding_rtl_110,Thresholding_rtl,1,,,0,0,0,0.0,,,327680,0,480.0,0
MVAU_rtl_85,MVAU_rtl,1,1,,6553600,419430400,800,0.0008,,,6553600,1,0,1
Thresholding_rtl_111,Thresholding_rtl,1,,,0,0,0,0.0,,,1310720,0,1476.0,0
AddStreams_hls_26,AddStreams_hls,1,,,0,0,0,0.0,,,1310720,0,0,0
Thresholding_rtl_112,Thresholding_rtl,1,,,0,0,0,0.0,,,1310720,0,738.0,0
FMPadding_Pixel_hls_4,FMPadding_Pixel_hls,,1,,0,0,0,0.0,,,5222420,0,0,0
FMPadding_rtl_30,FMPadding_rtl,,20,,0,0,0,0.0,,,263169,0,0,0
ConvolutionInputGenerator_rtl_32,ConvolutionInputGenerator_rtl,,20,0,0,0,0,0.0,82400,0.0824,1049091,0,2540,0
MVAU_rtl_86,MVAU_rtl,1,1,,41943040,2684354560,1280,0.00128,,,41943040,1,0,1
