stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_145,6x6 only,0.5114123608642595,0.4506870229004193,0.591050155170096,0.9569664001464478
test_145,5x5 only,0.4918149783663447,0.443523732903907,0.5519070978070358,0.9565391540526978
test_145,OR (6x6 | 5x5),0.500916654914504,0.38661224489774876,0.7111823005298716,0.9459991455077764
test_145,confidence blend,0.5311179487177308,0.4499513415817809,0.6480128140948562,0.9564018249511353
test_146,6x6 only,0.23993511281504207,0.13944120671911256,0.8590285110831097,0.9606781005859009
test_146,5x5 only,0.24560031286640044,0.15070794336434998,0.663146779299561,0.9705657958984004
test_146,OR (6x6 | 5x5),0.21196666252008212,0.12013536379010142,0.8996832101325255,0.951667785644495
test_146,confidence blend,0.22660166174536386,0.13023916646923178,0.8711721224874807,0.9570350646972291
test_147,6x6 only,0.5448865504766676,0.4719229126119182,0.6445380875198414,0.9366455078124643
test_147,5x5 only,0.5962108831182749,0.5591190327521376,0.6385737439217902,0.9491043090819951
test_147,OR (6x6 | 5x5),0.5565339908417151,0.4363033873341545,0.7682333873576866,0.9279594421386365
test_147,confidence blend,0.5936053511704098,0.5053758542138928,0.7191572123171999,0.9420585632323859
test_148,6x6 only,0.6561027837256546,0.591007925930707,0.7373118655926344,0.9663047790526975
test_148,5x5 only,0.6182558003049343,0.5591253272942048,0.6913720686028252,0.9627799987792601
test_148,OR (6x6 | 5x5),0.6021063787505457,0.4843866567193411,0.7954147707378408,0.9541702270507448
test_148,confidence blend,0.6394547689096721,0.5566361926988546,0.7512250612524053,0.9630699157714476
test_149,6x6 only,0.5607138645384799,0.4659001829105919,0.7039778896449471,0.9573707580566041
test_149,5x5 only,0.5199063231848088,0.4299825682739815,0.6573882143908227,0.9530792236327761
test_149,OR (6x6 | 5x5),0.4835441444841471,0.3549027758531454,0.7584641200268892,0.9373855590819955
test_149,confidence blend,0.5566352869721544,0.4522296922220118,0.7237192774644914,0.9554443359374635
test_15,6x6 only,0.5267718284822668,0.4046420343029229,0.7544948289566357,0.967498779296838
test_15,5x5 only,0.4793235972326521,0.3535147392287577,0.7441527446288876,0.9612388610839476
test_15,OR (6x6 | 5x5),0.4349615242169314,0.293350355239624,0.8408910103407464,0.9476203918456669
test_15,confidence blend,0.5071402978960398,0.37383036522760804,0.7882259347640601,0.9632682800292601
test_150,6x6 only,0.6984446734749606,0.6364839480871599,0.7737699813157702,0.9508895874023074
test_150,5x5 only,0.729717572973952,0.6708745048532316,0.7998754411455263,0.9564476013183228
test_150,OR (6x6 | 5x5),0.7038382496417696,0.5865075246495116,0.8798526053555741,0.945575714111292
test_150,confidence blend,0.7323146828223601,0.6414468550020909,0.85317625077805,0.9541549682616823
test_151,6x6 only,0.7199667451847305,0.6737551867215549,0.7729842308830905,0.9691619873046505
test_151,5x5 only,0.705525542602374,0.6132132461965988,0.8305563820285401,0.9644432067870725
test_151,OR (6x6 | 5x5),0.6961011529319987,0.5747226662788477,0.8824754537333512,0.960483551025354
test_151,confidence blend,0.7371067560595871,0.6503981797493456,0.8504909253192127,0.9688873291015255
test_152,6x6 only,0.3887629461704277,0.2598953999760728,0.7711162052534454,0.9475440979003544
test_152,5x5 only,0.4125544746223478,0.2749032030973396,0.8263092928922124,0.9490928649901982
test_152,OR (6x6 | 5x5),0.352269976833321,0.21909677419345414,0.89825427614019,0.9285392761230115
test_152,confidence blend,0.4141925519133284,0.27368600102042656,0.8511726326911458,0.9479141235351201
test_153,6x6 only,0.38442135001494077,0.31784433135870704,0.48627951499618854,0.9534530639648073
test_153,5x5 only,0.37863773860416255,0.3201340506214656,0.4633056796420379,0.9545516967773073
test_153,OR (6x6 | 5x5),0.36531125720300084,0.2678050812160006,0.5744735162724002,0.9403381347655891
test_153,confidence blend,0.41191343042050366,0.3410937107442081,0.5198468410969753,0.9556350708007447
test_154,6x6 only,0.7410086602135807,0.6357517482511925,0.8880341880331037,0.9806060791015251
test_154,5x5 only,0.7483910511795135,0.6433087460479071,0.8945054945044023,0.9812088012694937
test_154,OR (6x6 | 5x5),0.6648903642872959,0.5176142546242399,0.9293040293028947,0.9707336425780879
test_154,confidence blend,0.7186763503435531,0.5928894532175281,0.9122100122088984,0.9776878356933221
test_155,6x6 only,0.40553533719710405,0.29861708462892966,0.6317189249711203,0.9495277404784793
test_155,5x5 only,0.48344827586186057,0.3492775286495084,0.7849944008947578,0.9542846679687136
test_155,OR (6x6 | 5x5),0.41018141300170263,0.273001158748425,0.824468085105229,0.9353828430175424
test_155,confidence blend,0.4529072855798419,0.31981072191106247,0.7757558790582646,0.9489250183105107
test_156,6x6 only,0.6298211291221947,0.49297238173339186,0.8718444723852675,0.9595794677734009
test_156,5x5 only,0.626606062774909,0.49732984888052645,0.8466969726270948,0.9602012634276977
test_156,OR (6x6 | 5x5),0.5628476084536684,0.4083493282147931,0.9054067124471366,0.9445304870605108
test_156,confidence blend,0.6420754519070515,0.5027926842621274,0.8880936260751637,0.9609489440917601
test_157,6x6 only,0.44587900674301045,0.3667139778161348,0.5686338441469118,0.9338569641112925
test_157,5x5 only,0.35649284094780365,0.2879723016707873,0.46780241278083806,0.9209632873534804
test_157,OR (6x6 | 5x5),0.41913121540062365,0.30193288783491345,0.6850342354086362,0.9111404418944965
test_157,confidence blend,0.4389256149126202,0.34578211504159434,0.6007499184866313,0.9281234741210583
test_158,6x6 only,0.5548400944405694,0.3985200030830197,0.9129436694315506,0.968353271484338
test_158,5x5 only,0.44583503378204964,0.2999389871871263,0.8680911177805614,0.9533805847167605
test_158,OR (6x6 | 5x5),0.40781450266034575,0.26140211113311024,0.9270704573531219,0.9418373107909797
test_158,confidence blend,0.49310001422654093,0.33707209543546607,0.9180646300531201,0.9592247009276977
test_159,6x6 only,0.5125621057822641,0.39950563032112085,0.7148614114402252,0.9472312927245732
test_159,5x5 only,0.5342415193099573,0.40557338631595824,0.7824847650867087,0.9470481872558232
test_159,OR (6x6 | 5x5),0.4723978324676924,0.3313405653652976,0.8225869864352048,0.9286880493163708
test_159,confidence blend,0.532616273279377,0.4021254198203408,0.7884804403373417,0.9462928771972294
test_16,6x6 only,0.5892166611420897,0.49215577703904373,0.733966418936507,0.9716339111327754
test_16,5x5 only,0.5668594051150873,0.4560388902854278,0.7488301679042818,0.9682807922362912
test_16,OR (6x6 | 5x5),0.5513993297706044,0.41090712742952823,0.8378750344056732,0.962211608886682
test_16,confidence blend,0.6035477666164759,0.4932751091698748,0.7773190200925167,0.9716949462890254
test_160,6x6 only,0.489000916590004,0.37897353933548306,0.6890539231503244,0.9659729003905881
test_160,5x5 only,0.48508400960082004,0.3754423213018618,0.6851792056818128,0.9656295776366819
test_160,OR (6x6 | 5x5),0.4378945496574918,0.3021472392636183,0.7951243138508313,0.9517669677734012
test_160,confidence blend,0.49754465490232713,0.3736726919021045,0.7442686470766157,0.9644813537597288
test_161,6x6 only,0.40391392677954974,0.30923057389518205,0.582168041113204,0.9451560974120733
test_161,5x5 only,0.438056176071909,0.31578669482559885,0.7148320784023965,0.9414634704589484
test_161,OR (6x6 | 5x5),0.4007265021945208,0.26832333387373586,0.7910840205560044,0.9244804382323866
test_161,confidence blend,0.45702628844137755,0.3370614284090286,0.7095733237711132,0.946186065673792
test_162,6x6 only,0.23696635844961786,0.19833690103721524,0.2942829220616977,0.9408187866210578
test_162,5x5 only,0.27725856697807316,0.21465898432251462,0.3913999511356079,0.9362792968749643
test_162,OR (6x6 | 5x5),0.23153597550595967,0.16045075203915296,0.4157097483503351,0.913829803466762
test_162,confidence blend,0.26891287656371937,0.2133285560729392,0.36366967994091903,0.9382514953612923
test_163,6x6 only,0.5018042296622199,0.44888453052182,0.5688690969339593,0.9583930969237915
test_163,5x5 only,0.5121311748302001,0.4280943435605454,0.6372203811095306,0.9552803039550416
test_163,OR (6x6 | 5x5),0.5099726241687667,0.38828433761009784,0.7427506213745414,0.9474220275878544
test_163,confidence blend,0.5262765560937067,0.43847905596546927,0.6580364540175455,0.9563636779784791
test_164,6x6 only,0.5418201582217876,0.4445105033685647,0.6936755837317247,0.971057891845666
test_164,5x5 only,0.5363469059118148,0.42697555168901474,0.7210453069418261,0.9692459106444943
test_164,OR (6x6 | 5x5),0.4905801855841735,0.35196019097548786,0.8093397247552043,0.9585342407226196
test_164,confidence blend,0.595868772782141,0.4907435204638339,0.7583114272448457,0.9746246337890253
