case_id,category,gt_vessel_px,passthrough_dice_f1,passthrough_precision,passthrough_recall_sensitivity,passthrough_accuracy,refinement_dice_f1,refinement_precision,refinement_recall_sensitivity,refinement_accuracy,gap_recovery_rate,n_disagreement_px
test_103_discont_006,discont,1908,0.8174224343651032,0.9487534625973079,0.7180293501010586,0.9335937499989869,0.8013719987502296,0.989222478822254,0.6734800838539127,0.9308810763878788,0.09803921568627451,612
test_103_discont_007,discont,1944,0.822457378010516,0.9595336076751747,0.719650205757615,0.9344618055545415,0.7993846153821558,0.9946401225038696,0.6682098765397726,0.9292534722212138,0.08774834437086093,604
test_103_discont_008,discont,1991,0.5445329471377823,0.9753566796241847,0.37769964841598347,0.8634982638879518,0.5451263537886458,0.9691912708476356,0.37920642892828127,0.8632812499990632,0.08823529411764706,1258
test_103_discont_009,discont,1728,0.6729678638915956,0.970556161385272,0.5150462962933158,0.9061414930545723,0.6213364595520855,0.9566787003494984,0.46006944444178205,0.8948567708323623,0.12254335260115606,865
test_103_discont_010,discont,2027,0.5156136528666826,0.9766162310732239,0.35027133694943136,0.855251736110183,0.5503546099271264,0.9785624211730319,0.38283177108839256,0.8624131944435086,0.136431784107946,1334
test_103_discont_011,discont,1887,0.5915805022134728,0.975639464056326,0.42448330683399854,0.8799913194434895,0.5462184873928716,0.9781121750892187,0.3789083200827827,0.8710937499990548,0.08318264014466546,1106
test_103_discont_012,discont,1933,0.8268947213187058,0.9615912208438849,0.7252974650764341,0.9363064236100951,0.8067588325628057,0.993192133124106,0.6792550439695848,0.9317491319434333,0.08517887563884156,587
test_103_discont_013,discont,1908,0.8374442793437223,0.9670555936790182,0.7384696016732785,0.9406467013878681,0.8172839506147614,0.9939939939865317,0.6939203354261325,0.9357638888878734,0.08409506398537477,547
test_103_discont_014,discont,1543,0.7746055597266168,0.9213583556664758,0.6681788723223061,0.9348958333323188,0.713526767467456,0.9657079645910873,0.5657809462050176,0.9239366319434418,0.14666666666666667,600
test_103_discont_015,discont,1534,0.764976958522408,0.9308411214866278,0.6492829204651286,0.9335937499989869,0.7139942880427826,0.9541984732720371,0.570404172095369,0.9239366319434418,0.1437908496732026,612
test_103_empty_003,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_103_empty_004,empty,0,0.0,0.0,0.0,0.9894748263878151,0.0,0.0,0.0,0.9999999999989149,1.0,97
test_103_empty_005,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
