case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_135,0.6476809059866369,0.807348972387778,0.5407397107890145,0.7181326935727751
test_136,0.7791887125213587,0.8979674796729716,0.6881619937683985,0.7814050395104915
test_137,0.6497185238134886,0.6309988718210267,0.669582834514532,0.676811559161039
test_138,0.7382414962861114,0.9014778325102968,0.6250582207722014,0.8175013838340672
test_139,0.919834139598376,0.9566936208428451,0.8857095325222331,0.9762996207444672
test_13,0.7815306886223888,0.6740639122008762,0.9297640249321796,0.6651183375324159
test_140,0.7784594410350669,0.9077901430813743,0.6813842482083977,0.841218791301266
test_141,0.8493845487716648,0.8048294455505745,0.8991618648495296,0.9044272027110295
test_142,0.442496835134441,0.8895849647576759,0.2944912508097285,0.36228536357944696
test_143,0.8327959878197955,0.926010754828793,0.7566314076478791,0.7903293865100997
test_144,0.886988847583172,0.9317192904151157,0.846356542007858,0.9250695420896244
test_145,0.6307509254358601,0.7592297899415035,0.5394617819984854,0.6762796014058101
test_146,0.05373525557000058,0.030513520218232417,0.2248628884785217,0.05712920508356046
test_147,0.6035714285711372,0.8349579383084057,0.4726022220539093,0.5994711500074159
test_148,0.5892541026742313,0.5769699241070205,0.6020727414933496,0.5696832502805373
test_149,0.825702109058668,0.9247338147094301,0.7458296318223809,0.8715264221268096
test_14,0.8577912254154956,0.8834069072956591,0.8336192109766802,0.8516485490482594
test_150,0.895323681144701,0.9615155486709391,0.8376582935432646,0.8230612581137361
test_151,0.8021604811977567,0.8914961346058285,0.7290984825939235,0.7829270110209208
test_152,0.5366261398172214,0.4391791044770657,0.689648437498653,0.5398168946184951
test_153,0.4980494148239076,0.9352869352831287,0.3393885688962644,0.4624816520660215
test_154,0.9196478741331587,0.9409735530842711,0.8992673992663013,0.9566158716246351
test_155,0.36203522504853003,0.8106134371917693,0.23306270996607914,0.4478425390943181
test_156,0.873926752364359,0.8766056831443395,0.8712641454677712,0.881608892842698
test_157,0.6144365253734448,0.7701504567426516,0.5110992243910929,0.5752033192360204
test_158,0.9202979895898353,0.9063316582896356,0.9347014925353758,0.9633910261988768
